항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,120,175,154,144,169,, , 
  당기순이익(지배)＜당기＞,24.6,35.8,31.6,29.5,34.7,, , 
  보통주수정평균발행주식수＜당기＞,"20,493,012","20,493,012","20,493,012","20,493,012","20,493,012","20,493,012", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,754","1,878","2,004","2,130","2,273",, , 
  자본총계(지배)＜당기＞,359.5,384.9,410.6,436.6,465.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"20,493,012","20,493,012","20,493,012","20,493,012","20,493,012","20,493,012", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,115,-404,810,489,-496,, , 
  영업활동현금흐름＜당기＞,23.5,-82.7,166.0,100.3,-101.7,, , 
  보통주수정평균발행주식수＜당기＞,"20,493,012","20,493,012","20,493,012","20,493,012","20,493,012","20,493,012", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"10,920","12,119","11,413","11,947","12,831",, , 
  매출액＜당기＞,"2,237.8","2,483.5","2,338.9","2,448.2","2,629.4",, , 
  보통주수정평균발행주식수＜당기＞,"20,493,012","20,493,012","20,493,012","20,493,012","20,493,012","20,493,012", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,11.97,7.76,11.26,12.01,11.73,, , 
  보통주수정주가(기말)＜당기＞,"1,440","1,355","1,735","1,730","1,985","2,035", , 
  EPS＜당기＞,120,175,154,144,169,, , 
펼치기 PBR,0.82,0.72,0.87,0.81,0.87,, , 
  보통주수정주가(기말)＜당기＞,"1,440","1,355","1,735","1,730","1,985","2,035", , 
  BPS＜당기＞,"1,754","1,878","2,004","2,130","2,273",, , 
펼치기 PCR,12.56,-3.36,2.14,3.54,-4.00,, , 
  보통주수정주가(기말)＜당기＞,"1,440","1,355","1,735","1,730","1,985","2,035", , 
  CPS＜당기＞,115,-404,810,489,-496,, , 
펼치기 PSR,0.13,0.11,0.15,0.14,0.15,, , 
  보통주수정주가(기말)＜당기＞,"1,440","1,355","1,735","1,730","1,985","2,035", , 
  SPS＜당기＞,"10,920","12,119","11,413","11,947","12,831",, , 
펼치기 EV/EBITDA,2.48,3.20,2.57,1.49,5.53,, , 
  EV＜당기＞,109.9,188.1,156.0,96.2,425.0,, , 
  EBITDA＜당기＞,44.3,58.9,60.8,64.7,76.8,, , 
펼치기 DPS,15,15,25,25,25,, , 
  현금DPS,15,15,25,25,25,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.04,1.11,1.44,1.45,1.26,, , 
  현금배당성향(%),12.47,8.59,16.23,17.36,14.78,, , 
