항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-70,10,388,536,284,531,-47,87
  당기순이익(지배)＜당기＞,-14.9,2.1,93.8,155.8,89.6,193.0, , 
  보통주수정평균발행주식수＜당기＞,"21,212,190","21,991,710","24,177,030","29,050,530","31,577,538","36,313,190", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,380,390,"1,298","1,832","8,459","8,997",362,6
  자본총계(지배)＜당기＞,83.6,85.8,377.1,532.2,"3,071.6","3,267.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"21,991,710","21,991,710","29,050,530","29,050,530","36,313,190","36,313,190", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,88,206,934,254,481,683,90,42
  영업활동현금흐름＜당기＞,18.6,45.3,225.8,73.8,152.0,233.0, , 
  보통주수정평균발행주식수＜당기＞,"21,212,190","21,991,710","24,177,030","29,050,530","31,577,538","36,313,190", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,959,"1,300","3,801","3,908","3,727","4,015",-5,8
  매출액＜당기＞,203.4,285.9,919.0,"1,135.2","1,176.9","1,458.0", , 
  보통주수정평균발행주식수＜당기＞,"21,212,190","21,991,710","24,177,030","29,050,530","31,577,538","36,313,190", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,192.00,77.33, ,-59.72
  보통주수정주가(기말)＜당기＞,,,,,"54,500","41,100", , 
  EPS＜당기＞,-70,10,388,536,284,531, , 
펼치기 PBR,0.00,0.00,0.00,0.00,6.44,4.57, ,-29.10
  보통주수정주가(기말)＜당기＞,,,,,"54,500","41,100", , 
  BPS＜당기＞,380,390,"1,298","1,832","8,459","8,997", , 
펼치기 PCR,,,,,113.21,60.18, ,-46.84
  보통주수정주가(기말)＜당기＞,,,,,"54,500","41,100", , 
  CPS＜당기＞,88,206,934,254,481,683, , 
펼치기 PSR,,,,,14.62,10.24, ,-30.00
  보통주수정주가(기말)＜당기＞,,,,,"54,500","41,100", , 
  SPS＜당기＞,959,"1,300","3,801","3,908","3,727","4,015", , 
펼치기 EV/EBITDA,,,,,118.40,46.72, ,-60.54
  EV＜당기＞,,,,,"17,051.6","12,054.7", , 
  EBITDA＜당기＞,1.2,17.9,144.9,183.6,144.0,258.0, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,0.00, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
