항목,,"2020/06
(IFRS별도)","2021/06
(IFRS별도)",2021/09,2021/12,"2022/06(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,0,52,57,,10, 
  당기순이익(지배)＜당기＞,,,0.0,62.8,87.8,, , 
  보통주수정평균발행주식수＜당기＞,,,"177,534","121,493,714","138,257,123","146,569,937", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 BPS,,,500,"5,007","5,010",,0, 
  자본총계(지배)＜당기＞,,,3.0,"7,762.0","7,766.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"600,000","155,020,532","155,020,532","155,020,532", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,0,569,81,,-86, 
  영업활동현금흐름＜당기＞,,,0.0,691.4,126.3,, , 
  보통주수정평균발행주식수＜당기＞,,,"177,534","121,493,714","138,257,123","146,569,937", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 SPS,,,0,141,120,,-15, 
  매출액＜당기＞,,,,170.9,185.8,, , 
  보통주수정평균발행주식수＜당기＞,,,"177,534","121,493,714","138,257,123","146,569,937", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 PER,,,,115.74,108.82,,-5.98, 
  보통주수정주가(기말)＜당기＞,,,,"5,980","6,160","6,920", , 
  EPS＜당기＞,,,0,52,57,, , 
펼치기 PBR,,,0.00,1.19,1.23,,2.96, 
  보통주수정주가(기말)＜당기＞,,,,"5,980","6,160","6,920", , 
  BPS＜당기＞,,,500,"5,007","5,010",, , 
펼치기 PCR,,,,10.51,75.63,,619.73, 
  보통주수정주가(기말)＜당기＞,,,,"5,980","6,160","6,920", , 
  CPS＜당기＞,,,0,569,81,, , 
펼치기 PSR,,,,42.52,51.40,,20.89, 
  보통주수정주가(기말)＜당기＞,,,,"5,980","6,160","6,920", , 
  SPS＜당기＞,,,0,141,120,, , 
펼치기 EV/EBITDA,,,,126.23,114.29,,-9.46, 
  EV＜당기＞,,,,"19,516.2","19,769.3",, , 
  EBITDA＜당기＞,,,0.0,154.6,173.0,, , 
펼치기 DPS,,,0,53,70,,32, 
  현금DPS,,,0,53,70,, , 
  주식DPS,,,0,0,0,, , 
  현금배당수익률,,,,0.89,1.14,,0.25, 
  현금배당성향(%),,,98.86,131.45,123.87,,-7.57, 
