항목,,"2019/11
(IFRS별도)","2020/11
(IFRS별도)","2021/05
(IFRS별도)","2021/11
(IFRS별도)","2022/11(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-82,59,29,,-51, 
  당기순이익(지배)＜당기＞,,,-7.8,11.9,5.8,, , 
  보통주수정평균발행주식수＜당기＞,,,"9,443,443",,"20,100,000","20,100,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,,0,0, , 
펼치기 BPS,,,"4,842","4,769","4,645",,-3, 
  자본총계(지배)＜당기＞,,,973.3,958.6,933.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"20,100,000","20,100,000","20,100,000","20,100,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,332,162,125,,-23, 
  영업활동현금흐름＜당기＞,,,31.3,32.5,25.1,, , 
  보통주수정평균발행주식수＜당기＞,,,"9,443,443",,"20,100,000","20,100,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,,0,0, , 
펼치기 SPS,,,833,288,291,,1, 
  매출액＜당기＞,,,78.7,57.9,58.4,, , 
  보통주수정평균발행주식수＜당기＞,,,"9,443,443",,"20,100,000","20,100,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,,0,0, , 
펼치기 PER,,,N/A,85.41,169.79,,98.80, 
  보통주수정주가(기말)＜당기＞,,,"4,905",,"4,930","5,060", , 
  EPS＜당기＞,,,-82,59,29,, , 
펼치기 PBR,,,1.01,1.06,1.06,,0.23, 
  보통주수정주가(기말)＜당기＞,,,"4,905",,"4,930","5,060", , 
  BPS＜당기＞,,,"4,842","4,769","4,645",, , 
펼치기 PCR,,,14.78,31.19,39.44,,26.48, 
  보통주수정주가(기말)＜당기＞,,,"4,905",,"4,930","5,060", , 
  CPS＜당기＞,,,332,162,125,, , 
펼치기 PSR,,,5.89,17.54,16.96,,-3.31, 
  보통주수정주가(기말)＜당기＞,,,"4,905",,"4,930","5,060", , 
  SPS＜당기＞,,,833,288,291,, , 
펼치기 EV/EBITDA,,,35.52,45.59,50.72,,11.24, 
  EV＜당기＞,,,"2,416.2","2,441.9","2,426.1",, , 
  EBITDA＜당기＞,,,68.0,53.6,47.8,, , 
펼치기 DPS,,,132,153,121,,-21, 
  현금DPS,,,132,153,121,, , 
  주식DPS,,,0,0,,, , 
  현금배당수익률,,,2.69,3.03,2.45,,-0.58, 
  현금배당성향(%),,,-342.19,258.76,416.73,,157.97, 
