항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-57,-95,17,6,-57,,"-1,039", 
  당기순이익(지배)＜당기＞,-70.6,-162.7,31.8,13.4,-130.2,, , 
  보통주수정평균발행주식수＜당기＞,"124,835,481","172,063,370","181,841,802","222,753,060","230,389,720","231,211,638", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,473,399,451,473,424,,-10, 
  자본총계(지배)＜당기＞,758.2,696.0,934.1,"1,073.7",980.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"160,237,216","174,625,704","207,300,328","227,211,635","231,211,635","231,211,635", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-136,18,60,81,4,,-95, 
  영업활동현금흐름＜당기＞,-169.2,31.4,109.0,180.3,9.8,, , 
  보통주수정평균발행주식수＜당기＞,"124,835,481","172,063,370","181,841,802","222,753,060","230,389,720","231,211,638", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,251",482,809,561,350,,-38, 
  매출액＜당기＞,"1,561.9",829.2,"1,471.2","1,249.4",807.1,, , 
  보통주수정평균발행주식수＜당기＞,"124,835,481","172,063,370","181,841,802","222,753,060","230,389,720","231,211,638", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,44.29,107.18,N/A,,-107.55, 
  보통주수정주가(기말)＜당기＞,444,366,775,645,457,467, , 
  EPS＜당기＞,-57,-95,17,6,-57,, , 
펼치기 PBR,0.94,0.92,1.72,1.36,1.08,,-21.03, 
  보통주수정주가(기말)＜당기＞,444,366,775,645,457,467, , 
  BPS＜당기＞,473,399,451,473,424,, , 
펼치기 PCR,-3.28,20.07,12.93,7.97,107.52,,"1,249.14", 
  보통주수정주가(기말)＜당기＞,444,366,775,645,457,467, , 
  CPS＜당기＞,-136,18,60,81,4,, , 
펼치기 PSR,0.36,0.76,0.96,1.15,1.30,,13.45, 
  보통주수정주가(기말)＜당기＞,444,366,775,645,457,467, , 
  SPS＜당기＞,"1,251",482,809,561,350,, , 
펼치기 EV/EBITDA,12.53,-20.02,8.23,14.56,-9.07,,-162.28, 
  EV＜당기＞,"1,327.8","1,243.2","1,915.5","1,767.0","1,149.8",, , 
  EBITDA＜당기＞,106.0,-62.1,232.6,121.4,-126.8,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
