항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,940",949,-725,-737,"2,375",,422, 
  당기순이익(지배)＜당기＞,194.0,96.2,-80.5,-81.8,263.6,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","10,129,589","11,100,000","11,100,000","11,100,000","11,100,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"13,704","13,924","12,737","11,734","14,016",,19, 
  자본총계(지배)＜당기＞,"1,370.4","1,545.6","1,413.8","1,302.4","1,555.8",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,000,000","11,100,000","11,100,000","11,100,000","11,100,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"1,232","1,682",-22,"3,016",506,,-83, 
  영업활동현금흐름＜당기＞,123.2,170.4,-2.4,334.8,56.1,, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","10,129,589","11,100,000","11,100,000","11,100,000","11,100,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"26,492","24,222","22,176","17,645","15,741",,-11, 
  매출액＜당기＞,"2,649.2","2,453.6","2,461.5","1,958.6","1,747.2",, , 
  보통주수정평균발행주식수＜당기＞,"10,000,000","10,129,589","11,100,000","11,100,000","11,100,000","11,100,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,12.27,N/A,N/A,7.62,,123.37, 
  보통주수정주가(기말)＜당기＞,,"11,650","21,300","24,050","18,100","16,900", , 
  EPS＜당기＞,"1,940",949,-725,-737,"2,375",, , 
펼치기 PBR,0.00,0.84,1.67,2.05,1.29,,-37.00, 
  보통주수정주가(기말)＜당기＞,,"11,650","21,300","24,050","18,100","16,900", , 
  BPS＜당기＞,"13,704","13,924","12,737","11,734","14,016",, , 
펼치기 PCR,,6.93,-965.79,7.97,35.79,,348.94, 
  보통주수정주가(기말)＜당기＞,,"11,650","21,300","24,050","18,100","16,900", , 
  CPS＜당기＞,"1,232","1,682",-22,"3,016",506,, , 
펼치기 PSR,,0.48,0.96,1.36,1.15,,-15.64, 
  보통주수정주가(기말)＜당기＞,,"11,650","21,300","24,050","18,100","16,900", , 
  SPS＜당기＞,"26,492","24,222","22,176","17,645","15,741",, , 
펼치기 EV/EBITDA,,4.29,12.51,16.13,7.08,,-56.10, 
  EV＜당기＞,,793.0,"2,427.7","2,674.6","1,048.2",, , 
  EBITDA＜당기＞,247.5,185.0,194.0,165.8,148.1,, , 
펼치기 DPS,500,500,500,0,500,, , 
  현금DPS,500,500,500,0,500,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,4.29,2.35,0.00,2.76,,2.76, 
  현금배당성향(%),25.78,57.71,-68.93,0.00,21.05,,21.05, 
