항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,42,103,95,-109,-97,,10, 
  당기순이익(지배)＜당기＞,37.6,92.9,128.7,-154.2,-138.1,, , 
  보통주수정평균발행주식수＜당기＞,"90,509,897","90,509,897","90,509,897","99,777,957","119,382,608","141,806,193", , 
  우선주수정평균발행주식수＜당기＞,0,0,"45,112,633","42,028,236","22,423,585",0, , 
펼치기 BPS,"1,455","1,812","2,736","2,564","1,689",,-34, 
  자본총계(지배)＜당기＞,"1,317.2","1,639.9","3,870.4","3,626.2","2,388.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"90,504,682","90,504,682","90,154,124","102,784,124","141,450,420","141,450,420", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,"51,296,296","38,666,296",0,0, , 
펼치기 CPS,92,64,135,9,134,,"1,325", 
  영업활동현금흐름＜당기＞,83.5,57.9,182.8,13.4,190.3,, , 
  보통주수정평균발행주식수＜당기＞,"90,509,897","90,509,897","90,509,897","99,777,957","119,382,608","141,806,193", , 
  우선주수정평균발행주식수＜당기＞,0,0,"45,112,633","42,028,236","22,423,585",0, , 
펼치기 SPS,387,371,"1,351",927,887,,-4, 
  매출액＜당기＞,350.3,335.7,"1,832.0","1,314.8","1,257.8",, , 
  보통주수정평균발행주식수＜당기＞,"90,509,897","90,509,897","90,509,897","99,777,957","119,382,608","141,806,193", , 
  우선주수정평균발행주식수＜당기＞,0,0,"45,112,633","42,028,236","22,423,585",0, , 
펼치기 PER,41.78,24.25,56.29,N/A,N/A,,6.23, 
  보통주수정주가(기말)＜당기＞,"1,735","2,490","5,340","3,190","2,680","2,405", , 
  EPS＜당기＞,42,103,95,-109,-97,, , 
펼치기 PBR,1.19,1.37,1.95,1.24,1.59,,27.55, 
  보통주수정주가(기말)＜당기＞,"1,735","2,490","5,340","3,190","2,680","2,405", , 
  BPS＜당기＞,"1,455","1,812","2,736","2,564","1,689",, , 
펼치기 PCR,18.81,38.94,39.61,338.68,19.97,,-94.10, 
  보통주수정주가(기말)＜당기＞,"1,735","2,490","5,340","3,190","2,680","2,405", , 
  CPS＜당기＞,92,64,135,9,134,, , 
펼치기 PSR,4.48,6.71,3.95,3.44,3.02,,-12.18, 
  보통주수정주가(기말)＜당기＞,"1,735","2,490","5,340","3,190","2,680","2,405", , 
  SPS＜당기＞,387,371,"1,351",927,887,, , 
펼치기 EV/EBITDA,20.23,33.88,19.30,-78.91,47.76,,160.52, 
  EV＜당기＞,"2,180.9","2,797.7","4,988.1","3,632.3","5,174.9",, , 
  EBITDA＜당기＞,107.8,82.6,258.4,-46.0,108.4,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
