항목,,,,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,"-2,278","3,963","3,916",274,-1
  당기순이익(지배)＜당기＞,,,,"-4,555.2","7,925.2","9,091.5", , 
  보통주수정평균발행주식수＜당기＞,,,,"200,000,000","200,000,000","232,136,986", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"34,398","39,831","78,387",16,97
  자본총계(지배)＜당기＞,,,,"68,796.2","79,661.2","183,425.8", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,"200,000,000","200,000,000","234,000,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,"1,977","4,893","12,634",148,158
  영업활동현금흐름＜당기＞,,,,"3,953.6","9,785.9","28,741.1", , 
  보통주수정평균발행주식수＜당기＞,,,,"200,000,000","200,000,000","232,136,986", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,"7,305","89,260","88,514","1,122",-1
  매출액＜당기＞,,,,"14,610.7","178,519.1","205,473.3", , 
  보통주수정평균발행주식수＜당기＞,,,,"200,000,000","200,000,000","232,136,986", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,,,102.26, , 
  보통주수정주가(기말)＜당기＞,,,,,,"400,500", , 
  EPS＜당기＞,,,,"-2,278","3,963","3,916", , 
펼치기 PBR,,,,0.00,0.00,5.11, , 
  보통주수정주가(기말)＜당기＞,,,,,,"400,500", , 
  BPS＜당기＞,,,,"34,398","39,831","78,387", , 
펼치기 PCR,,,,,0.00,31.70, , 
  보통주수정주가(기말)＜당기＞,,,,,,"400,500", , 
  CPS＜당기＞,,,,"1,977","4,893","12,634", , 
펼치기 PSR,,,,,0.00,4.52, , 
  보통주수정주가(기말)＜당기＞,,,,,,"400,500", , 
  SPS＜당기＞,,,,"7,305","89,260","88,514", , 
펼치기 EV/EBITDA,,,,,,29.39, , 
  EV＜당기＞,,,,,,"932,162.0", , 
  EBITDA＜당기＞,,,,"-3,596.2","22,202.5","31,721.1", , 
펼치기 DPS,,,,0,,, , 
  현금DPS,,,,0,,, , 
  주식DPS,,,,0,,, , 
  현금배당수익률,,,,,,0.00, , 
  현금배당성향(%),,,,0.00,,0.50, , 
