항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,461","1,450","2,236","1,132","-1,199",,-206, 
  당기순이익(지배)＜당기＞,80.2,79.6,122.6,62.1,-65.8,, , 
  보통주수정평균발행주식수＜당기＞,"5,485,962","5,485,962","5,485,962","5,485,962","5,485,962",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"26,373","27,416","29,422","30,760","29,437",,-4, 
  자본총계(지배)＜당기＞,"1,420.5","1,476.6","1,584.6","1,687.5","1,614.9",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,385,942","5,385,940","5,385,938","5,485,962","5,485,961","5,485,961", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"3,727","2,832","3,097",879,"-1,072",,-222, 
  영업활동현금흐름＜당기＞,204.5,155.4,169.9,48.2,-58.8,, , 
  보통주수정평균발행주식수＜당기＞,"5,485,962","5,485,962","5,485,962","5,485,962","5,485,962",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"21,544","22,696","25,006","22,713","25,928",,14, 
  매출액＜당기＞,"1,181.9","1,245.1","1,371.8","1,246.0","1,422.4",, , 
  보통주수정평균발행주식수＜당기＞,"5,485,962","5,485,962","5,485,962","5,485,962","5,485,962",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,13.93,13.64,13.20,70.61,N/A,,-149.38, 
  보통주수정주가(기말)＜당기＞,"20,355","19,783","29,500","79,900","41,800","32,750", , 
  EPS＜당기＞,"1,461","1,450","2,236","1,132","-1,199",, , 
펼치기 PBR,0.77,0.72,1.00,2.60,1.42,,-45.33, 
  보통주수정주가(기말)＜당기＞,"20,355","19,783","29,500","79,900","41,800","32,750", , 
  BPS＜당기＞,"26,373","27,416","29,422","30,760","29,437",, , 
펼치기 PCR,5.46,6.99,9.53,90.86,-38.98,,-142.90, 
  보통주수정주가(기말)＜당기＞,"20,355","19,783","29,500","79,900","41,800","32,750", , 
  CPS＜당기＞,"3,727","2,832","3,097",879,"-1,072",, , 
펼치기 PSR,0.94,0.87,1.18,3.52,1.61,,-54.17, 
  보통주수정주가(기말)＜당기＞,"20,355","19,783","29,500","79,900","41,800","32,750", , 
  SPS＜당기＞,"21,544","22,696","25,006","22,713","25,928",, , 
펼치기 EV/EBITDA,5.30,6.05,7.37,26.04,60.37,,131.85, 
  EV＜당기＞,959.8,966.2,"1,856.5","5,166.4","3,351.6",, , 
  EBITDA＜당기＞,181.0,159.6,251.9,198.4,55.5,, , 
펼치기 DPS,381,191,191,200,100,,-50, 
  현금DPS,381,191,191,200,100,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.87,0.96,0.65,0.25,0.24,,-0.01, 
  현금배당성향(%),25.60,12.89,8.36,17.68,-8.34,,-26.02, 
