항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(GAAP개별)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,215,251,445,625,"1,388",,122, 
  당기순이익(지배)＜당기＞,25.2,29.4,82.3,128.0,338.2,, , 
  보통주수정평균발행주식수＜당기＞,"11,700,000","11,700,000","11,700,000","11,724,510","23,270,108","26,452,189", , 
  우선주수정평균발행주식수＜당기＞,0,0,"6,789,450","8,763,320","1,097,260",0, , 
펼치기 BPS,"4,539","4,748","5,484","5,229","8,901",,70, 
  자본총계(지배)＜당기＞,531.1,555.6,"1,122.9","1,251.1","2,354.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"11,700,000","11,700,000","11,700,000","19,424,554","26,452,189","26,452,189", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,"8,775,000","4,500,000",0,0, , 
펼치기 CPS,711,374,-373,"2,044",-799,,-139, 
  영업활동현금흐름＜당기＞,83.2,43.8,-69.0,418.9,-194.6,, , 
  보통주수정평균발행주식수＜당기＞,"11,700,000","11,700,000","11,700,000","11,724,510","23,270,108","26,452,189", , 
  우선주수정평균발행주식수＜당기＞,0,0,"6,789,450","8,763,320","1,097,260",0, , 
펼치기 SPS,"19,393","24,176","13,604","27,811","38,306",,38, 
  매출액＜당기＞,"2,269.0","2,828.5","2,515.4","5,697.9","9,334.1",, , 
  보통주수정평균발행주식수＜당기＞,"11,700,000","11,700,000","11,700,000","11,724,510","23,270,108","26,452,189", , 
  우선주수정평균발행주식수＜당기＞,0,0,"6,789,450","8,763,320","1,097,260",0, , 
펼치기 PER,,,,,13.33,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,500","14,950", , 
  EPS＜당기＞,215,251,445,625,"1,388",, , 
펼치기 PBR,0.00,0.00,0.00,0.00,2.08,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,500","14,950", , 
  BPS＜당기＞,"4,539","4,748","5,484","5,229","8,901",, , 
펼치기 PCR,,,,,-23.16,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,500","14,950", , 
  CPS＜당기＞,711,374,-373,"2,044",-799,, , 
펼치기 PSR,,,,,0.48,, , 
  보통주수정주가(기말)＜당기＞,,,,,"18,500","14,950", , 
  SPS＜당기＞,"19,393","24,176","13,604","27,811","38,306",, , 
펼치기 EV/EBITDA,,,,,9.19,, , 
  EV＜당기＞,,,,,"6,386.9",, , 
  EBITDA＜당기＞,133.4,100.4,221.7,403.6,695.3,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,2.96,1.53,,, , 
