항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-43,-97,256,-1,35,,"2,708", 
  당기순이익(지배)＜당기＞,-18.6,-41.6,119.2,-0.6,15.0,, , 
  보통주수정평균발행주식수＜당기＞,"42,851,600","42,851,600","42,851,600","42,851,600","42,851,600","42,851,600", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,063",950,"1,257","1,256","1,294",,3, 
  자본총계(지배)＜당기＞,413.5,369.3,488.9,488.3,503.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"38,890,959","38,890,959","38,890,959","38,890,959","38,890,959","38,890,959", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,564,-65,391,-44,-232,,-433, 
  영업활동현금흐름＜당기＞,241.7,-27.8,167.4,-18.7,-99.6,, , 
  보통주수정평균발행주식수＜당기＞,"42,851,600","42,851,600","42,851,600","42,851,600","42,851,600","42,851,600", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,257",620,556,138,165,,20, 
  매출액＜당기＞,538.8,265.7,238.2,58.9,70.6,, , 
  보통주수정평균발행주식수＜당기＞,"42,851,600","42,851,600","42,851,600","42,851,600","42,851,600","42,851,600", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,2.77,N/A,89.01,,117.61, 
  보통주수정주가(기말)＜당기＞,824,625,708,677,"3,110","1,680", , 
  EPS＜당기＞,-43,-97,256,-1,35,, , 
펼치기 PBR,0.78,0.66,0.56,0.54,2.40,,345.71, 
  보통주수정주가(기말)＜당기＞,824,625,708,677,"3,110","1,680", , 
  BPS＜당기＞,"1,063",950,"1,257","1,256","1,294",, , 
펼치기 PCR,1.46,-9.64,1.81,-15.54,-13.38,,13.87, 
  보통주수정주가(기말)＜당기＞,824,625,708,677,"3,110","1,680", , 
  CPS＜당기＞,564,-65,391,-44,-232,, , 
펼치기 PSR,0.66,1.01,1.27,4.92,18.87,,283.38, 
  보통주수정주가(기말)＜당기＞,824,625,708,677,"3,110","1,680", , 
  SPS＜당기＞,"1,257",620,556,138,165,, , 
펼치기 EV/EBITDA,117.67,-27.92,8.13,40.87,483.61,,"1,083.28", 
  EV＜당기＞,657.1,597.2,355.7,368.3,"1,518.4",, , 
  EBITDA＜당기＞,5.6,-21.4,43.8,9.0,3.1,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
