항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,779,-34,"-2,271",-459,-649,,-41, 
  당기순이익(지배)＜당기＞,270.8,-12.4,-844.1,-217.7,-385.6,, , 
  보통주수정평균발행주식수＜당기＞,"34,758,485","36,782,547","37,166,201","47,389,660","59,441,930","74,422,604", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,496","3,461","1,374","1,190",803,,-33, 
  자본총계(지배)＜당기＞,"1,274.0","1,263.5",541.1,609.6,597.8,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"36,444,008","36,503,283","39,381,851","51,215,065","74,406,433","74,406,433", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-593,-858,94,-106,-59,,45, 
  영업활동현금흐름＜당기＞,-206.0,-315.6,35.0,-50.2,-34.9,, , 
  보통주수정평균발행주식수＜당기＞,"34,758,485","36,782,547","37,166,201","47,389,660","59,441,930","74,422,604", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,732","3,589","1,416",644,345,,-46, 
  매출액＜당기＞,"1,297.1","1,320.2",526.2,305.2,205.3,, , 
  보통주수정평균발행주식수＜당기＞,"34,758,485","36,782,547","37,166,201","47,389,660","59,441,930","74,422,604", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,13.95,N/A,N/A,N/A,N/A,,58.38, 
  보통주수정주가(기말)＜당기＞,"10,867","7,923","3,111","1,752","1,030","1,240", , 
  EPS＜당기＞,779,-34,"-2,271",-459,-649,, , 
펼치기 PBR,3.11,2.29,2.26,1.47,1.28,,-12.89, 
  보통주수정주가(기말)＜당기＞,"10,867","7,923","3,111","1,752","1,030","1,240", , 
  BPS＜당기＞,"3,496","3,461","1,374","1,190",803,, , 
펼치기 PCR,-18.34,-9.23,33.01,-16.52,-17.54,,-6.17, 
  보통주수정주가(기말)＜당기＞,"10,867","7,923","3,111","1,752","1,030","1,240", , 
  CPS＜당기＞,-593,-858,94,-106,-59,, , 
펼치기 PSR,2.91,2.21,2.20,2.72,2.98,,9.62, 
  보통주수정주가(기말)＜당기＞,"10,867","7,923","3,111","1,752","1,030","1,240", , 
  SPS＜당기＞,"3,732","3,589","1,416",644,345,, , 
펼치기 EV/EBITDA,17.35,36.23,-3.57,-10.04,-4.95,,50.66, 
  EV＜당기＞,"4,017.3","3,263.8","1,715.9","1,069.4",769.6,, , 
  EBITDA＜당기＞,231.5,90.1,-481.3,-106.5,-155.4,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
