항목,,2019/09,2020/09,2021/03,2021/09,"2022/09(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,"-1,386",-279,57,,120, 
  당기순이익(지배)＜당기＞,,,-33.1,-17.7,27.7,, , 
  보통주수정평균발행주식수＜당기＞,,,"2,390,811","6,323,714","31,594,818","64,400,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 BPS,,,"6,796","6,668","4,910",,-26, 
  자본총계(지배)＜당기＞,,,429.7,421.7,"3,162.0",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"6,323,715","6,323,714","64,400,000","64,400,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,0, , 
펼치기 CPS,,,705,281,-85,,-130, 
  영업활동현금흐름＜당기＞,,,16.9,17.8,-41.4,, , 
  보통주수정평균발행주식수＜당기＞,,,"2,390,811","6,323,714","31,594,818","64,400,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 SPS,,,"4,508","2,381",343,,-86, 
  매출액＜당기＞,,,107.8,150.6,167.6,, , 
  보통주수정평균발행주식수＜당기＞,,,"2,390,811","6,323,714","31,594,818","64,400,000", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,0, , 
펼치기 PER,,,,,92.93,, , 
  보통주수정주가(기말)＜당기＞,,,,,"5,280","5,320", , 
  EPS＜당기＞,,,"-1,386",-279,57,, , 
펼치기 PBR,,,0.00,0.00,1.08,, , 
  보통주수정주가(기말)＜당기＞,,,,,"5,280","5,320", , 
  BPS＜당기＞,,,"6,796","6,668","4,910",, , 
펼치기 PCR,,,,,-62.20,, , 
  보통주수정주가(기말)＜당기＞,,,,,"5,280","5,320", , 
  CPS＜당기＞,,,705,281,-85,, , 
펼치기 PSR,,,,,15.38,, , 
  보통주수정주가(기말)＜당기＞,,,,,"5,280","5,320", , 
  SPS＜당기＞,,,"4,508","2,381",343,, , 
펼치기 EV/EBITDA,,,,,85.47,, , 
  EV＜당기＞,,,,,"7,369.4",, , 
  EBITDA＜당기＞,,,73.3,114.9,86.2,, , 
펼치기 DPS,,,0,0,81,, , 
  현금DPS,,,0,0,81,, , 
  주식DPS,,,0,0,0,, , 
  현금배당수익률,,,,,1.53,, , 
  현금배당성향(%),,,0.00,0.00,189.76,,189.76, 
