항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,113",570,"2,005","1,706","4,338",,154, 
  당기순이익(지배)＜당기＞,130.2,66.7,222.1,199.6,507.5,, , 
  보통주수정평균발행주식수＜당기＞,"11,700,000","11,700,000","11,700,000","11,700,000","11,700,000","11,496,986", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"16,565","16,738","18,820","20,570","25,636",,25, 
  자본총계(지배)＜당기＞,"1,545.7","1,561.8","1,747.2","1,890.0","2,355.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,331,000","9,331,000","9,283,819","9,188,091","9,188,091","9,188,091", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,870,"1,139","2,000",618,"1,351",,119, 
  영업활동현금흐름＜당기＞,101.8,133.3,234.0,72.3,158.1,, , 
  보통주수정평균발행주식수＜당기＞,"11,700,000","11,700,000","11,700,000","11,700,000","11,700,000","11,496,986", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"11,421","10,434","12,421","14,135","21,438",,52, 
  매출액＜당기＞,"1,336.2","1,220.8","1,453.3","1,653.8","2,508.3",, , 
  보통주수정평균발행주식수＜당기＞,"11,700,000","11,700,000","11,700,000","11,700,000","11,700,000","11,496,986", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,11.10,19.12,6.06,7.18,5.37,,-25.19, 
  보통주수정주가(기말)＜당기＞,"12,350","10,900","12,150","12,250","23,300","27,150", , 
  EPS＜당기＞,"1,113",570,"2,005","1,706","4,338",, , 
펼치기 PBR,0.75,0.65,0.65,0.60,0.91,,52.61, 
  보통주수정주가(기말)＜당기＞,"12,350","10,900","12,150","12,250","23,300","27,150", , 
  BPS＜당기＞,"16,565","16,738","18,820","20,570","25,636",, , 
펼치기 PCR,14.19,9.57,6.08,19.81,17.25,,-12.96, 
  보통주수정주가(기말)＜당기＞,"12,350","10,900","12,150","12,250","23,300","27,150", , 
  CPS＜당기＞,870,"1,139","2,000",618,"1,351",, , 
펼치기 PSR,1.08,1.04,0.98,0.87,1.09,,25.41, 
  보통주수정주가(기말)＜당기＞,"12,350","10,900","12,150","12,250","23,300","27,150", , 
  SPS＜당기＞,"11,421","10,434","12,421","14,135","21,438",, , 
펼치기 EV/EBITDA,4.23,6.30,3.99,4.75,5.01,,5.51, 
  EV＜당기＞,818.2,714.6,805.6,804.7,"1,836.2",, , 
  EBITDA＜당기＞,193.4,113.3,201.9,169.4,366.4,, , 
펼치기 DPS,460,250,500,500,900,,80, 
  현금DPS,460,250,500,500,900,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,3.72,2.29,4.12,4.08,3.86,,-0.22, 
  현금배당성향(%),32.96,34.98,20.90,23.01,16.29,,-6.72, 
