항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,473,45,-819,-997,"-1,070",,-7, 
  당기순이익(지배)＜당기＞,175.6,16.6,-304.1,-370.4,-436.7,, , 
  보통주수정평균발행주식수＜당기＞,"37,149,830","37,149,830","37,149,830","37,149,830","40,814,464","48,291,531", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,229","2,183","1,357",765,257,,-66, 
  자본총계(지배)＜당기＞,826.6,809.7,503.2,283.7,107.3,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"37,086,985","37,086,985","37,086,985","37,086,996","41,713,158","51,450,907", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,985,490,-407,-623,-626,,-0, 
  영업활동현금흐름＜당기＞,366.1,181.9,-151.0,-231.6,-255.4,, , 
  보통주수정평균발행주식수＜당기＞,"37,149,830","37,149,830","37,149,830","37,149,830","40,814,464","48,291,531", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,764","5,555","2,576","1,800","2,485",,38, 
  매출액＜당기＞,"2,512.9","2,063.6",956.9,668.6,"1,014.4",, , 
  보통주수정평균발행주식수＜당기＞,"37,149,830","37,149,830","37,149,830","37,149,830","40,814,464","48,291,531", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,13.09,58.31,N/A,N/A,N/A,,62.59, 
  보통주수정주가(기말)＜당기＞,"6,188","2,604","2,841","5,417","2,174","2,245", , 
  EPS＜당기＞,473,45,-819,-997,"-1,070",, , 
펼치기 PBR,2.78,1.19,2.09,7.08,8.46,,19.42, 
  보통주수정주가(기말)＜당기＞,"6,188","2,604","2,841","5,417","2,174","2,245", , 
  BPS＜당기＞,"2,229","2,183","1,357",765,257,, , 
펼치기 PCR,6.28,5.32,-6.99,-8.69,-3.47,,60.02, 
  보통주수정주가(기말)＜당기＞,"6,188","2,604","2,841","5,417","2,174","2,245", , 
  CPS＜당기＞,985,490,-407,-623,-626,, , 
펼치기 PSR,0.91,0.47,1.10,3.01,0.87,,-70.94, 
  보통주수정주가(기말)＜당기＞,"6,188","2,604","2,841","5,417","2,174","2,245", , 
  SPS＜당기＞,"6,764","5,555","2,576","1,800","2,485",, , 
펼치기 EV/EBITDA,7.61,9.66,-6.45,-10.50,-5.23,,50.20, 
  EV＜당기＞,"2,401.8","1,062.0","1,418.1","2,518.6","1,519.7",, , 
  EBITDA＜당기＞,315.8,109.9,-219.9,-239.8,-290.6,, , 
펼치기 DPS,76,38,0,0,,, , 
  현금DPS,76,38,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.23,1.46,0.00,0.00,,, , 
  현금배당성향(%),16.08,85.14,0.00,0.00,,, , 
