항목,"2019/05
(IFRS별도)","2020/05
(IFRS별도)",2020/11,2021/05,2021/11,"2022/05(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,-488,-131,38,129,,238, 
  당기순이익(지배)＜당기＞,,-1.3,-13.7,54.1,94.9,, , 
  보통주수정평균발행주식수＜당기＞,,"256,278","10,426,995","141,441,064","73,362,497","176,249,700", , 
  우선주수정평균발행주식수＜당기＞,,0,0,0,0,0, , 
펼치기 BPS,,"4,749","4,858","4,855","9,553",,97, 
  자본총계(지배)＜당기＞,,43.7,"2,392.5","7,106.8","7,008.6",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,0,"919,586","49,248,928","146,376,572","73,362,497","213,089,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,,-539,-31,63,248,,297, 
  영업활동현금흐름＜당기＞,,-1.4,-3.2,88.6,182.2,, , 
  보통주수정평균발행주식수＜당기＞,,"256,278","10,426,995","141,441,064","73,362,497","176,249,700", , 
  우선주수정평균발행주식수＜당기＞,,0,0,0,0,0, , 
펼치기 SPS,,0,0,168,410,,144, 
  매출액＜당기＞,,,,237.1,300.6,, , 
  보통주수정평균발행주식수＜당기＞,,"256,278","10,426,995","141,441,064","73,362,497","176,249,700", , 
  우선주수정평균발행주식수＜당기＞,,0,0,0,0,0, , 
펼치기 PER,,,,170.03,51.36,,-69.80, 
  보통주수정주가(기말)＜당기＞,,,,"6,503","6,640","6,860", , 
  EPS＜당기＞,,-488,-131,38,129,, , 
펼치기 PBR,,0.00,0.00,1.34,0.70,,-48.10, 
  보통주수정주가(기말)＜당기＞,,,,"6,503","6,640","6,860", , 
  BPS＜당기＞,,"4,749","4,858","4,855","9,553",, , 
펼치기 PCR,,,,103.83,26.73,,-74.26, 
  보통주수정주가(기말)＜당기＞,,,,"6,503","6,640","6,860", , 
  CPS＜당기＞,,-539,-31,63,248,, , 
펼치기 PSR,,,,38.79,16.20,,-58.23, 
  보통주수정주가(기말)＜당기＞,,,,"6,503","6,640","6,860", , 
  SPS＜당기＞,,0,0,168,410,, , 
펼치기 EV/EBITDA,,,,97.55,93.15,,-4.51, 
  EV＜당기＞,,,,"13,666.2","20,876.8",, , 
  EBITDA＜당기＞,,-1.3,-7.1,140.1,224.1,, , 
펼치기 DPS,,0,0,131,131,,0, 
  현금DPS,,0,0,131,131,, , 
  주식DPS,,0,0,0,0,, , 
  현금배당수익률,,,,2.02,1.98,,-0.04, 
  현금배당성향(%),,0.00,0.00,356.12,202.38,,-153.74, 
