항목,"2019/10
(IFRS별도)","2020/08
(IFRS별도)","2021/02
(IFRS별도)",2021/08,2022/02,"2022/08(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,19,"6,126",114,927,181,,-81, 
  당기순이익(지배)＜당기＞,0.0,370.7,27.4,222.5,49.7,, , 
  보통주수정평균발행주식수＜당기＞,"300,000","6,050,164","24,000,000","24,000,000","27,493,383","29,197,006", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,006","6,439","6,493","7,270","6,919",,-5, 
  자본총계(지배)＜당기＞,15.0,"1,545.4","1,558.4","1,744.7","2,136.1",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"300,000","24,000,000","24,000,000","24,000,000","30,872,852","30,872,852", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,9,-56,198,179,-99,,-155, 
  영업활동현금흐름＜당기＞,0.0,-3.4,47.5,43.0,-27.3,, , 
  보통주수정평균발행주식수＜당기＞,"300,000","6,050,164","24,000,000","24,000,000","27,493,383","29,197,006", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,0,"6,184",119,971,252,,-74, 
  매출액＜당기＞,,374.2,28.5,233.0,69.2,, , 
  보통주수정평균발행주식수＜당기＞,"300,000","6,050,164","24,000,000","24,000,000","27,493,383","29,197,006", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,0.73,41.53,5.95,31.69,,432.28, 
  보통주수정주가(기말)＜당기＞,,,,,"5,730","5,880", , 
  EPS＜당기＞,19,"6,126",114,927,181,, , 
펼치기 PBR,0.00,0.70,0.73,0.76,0.83,,9.06, 
  보통주수정주가(기말)＜당기＞,,,,,"5,730","5,880", , 
  BPS＜당기＞,"5,006","6,439","6,493","7,270","6,919",, , 
펼치기 PCR,,-80.67,24.01,30.79,-57.61,,-287.13, 
  보통주수정주가(기말)＜당기＞,,,,,"5,730","5,880", , 
  CPS＜당기＞,9,-56,198,179,-99,, , 
펼치기 PSR,,0.73,40.06,5.69,22.75,,300.11, 
  보통주수정주가(기말)＜당기＞,,,,,"5,730","5,880", , 
  SPS＜당기＞,0,"6,184",119,971,252,, , 
펼치기 EV/EBITDA,,2.80,39.03,5.70,42.05,,637.93, 
  EV＜당기＞,,"1,037.0","1,067.6","1,267.7","2,195.3",, , 
  EBITDA＜당기＞,-0.0,370.6,27.4,222.5,52.2,, , 
펼치기 DPS,0,60,151,152,152,,0, 
  현금DPS,0,60,151,152,152,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,1.34,3.18,2.75,2.65,,-0.10, 
  현금배당성향(%),0.00,3.90,132.03,16.39,94.39,,78.00, 
