항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,"2,585",977,"1,795","1,135","1,883",-37,66
  당기순이익(지배)＜당기＞,,537.3,405.0,950.2,786.4,"1,304.0", , 
  보통주수정평균발행주식수＜당기＞,,"20,781,630","41,449,700","52,923,980","69,261,540","69,261,540", , 
  우선주수정평균발행주식수＜당기＞,,0,0,0,0,0, , 
펼치기 BPS,,"20,946","21,401","19,505","20,557","21,152",5,3
  자본총계(지배)＜당기＞,,"8,682.2","8,870.6","13,006.5","13,708.1","14,650.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,0,"41,449,700","41,449,700","66,683,440","66,683,440","69,261,540", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,,"2,662","2,898","2,800","1,522","2,849",-46,87
  영업활동현금흐름＜당기＞,,553.2,"1,201.3","1,482.0","1,054.4","2,833.0", , 
  보통주수정평균발행주식수＜당기＞,,"20,781,630","41,449,700","52,923,980","69,261,540","69,261,540", , 
  우선주수정평균발행주식수＜당기＞,,0,0,0,0,0, , 
펼치기 SPS,,"24,637","22,827","18,409","18,363","20,733",-0,13
  매출액＜당기＞,,"5,119.9","9,461.9","9,742.9","12,718.5","14,360.0", , 
  보통주수정평균발행주식수＜당기＞,,"20,781,630","41,449,700","52,923,980","69,261,540","69,261,540", , 
  우선주수정평균발행주식수＜당기＞,,0,0,0,0,0, , 
펼치기 PER,,4.54,9.56,5.85,18.50,9.91,216.24,-46.44
  보통주수정주가(기말)＜당기＞,,"11,750","9,340","10,500","21,000","18,650", , 
  EPS＜당기＞,,"2,585",977,"1,795","1,135","1,883", , 
펼치기 PBR,,0.56,0.44,0.54,1.02,0.88,89.76,-13.69
  보통주수정주가(기말)＜당기＞,,"11,750","9,340","10,500","21,000","18,650", , 
  BPS＜당기＞,,"20,946","21,401","19,505","20,557","21,152", , 
펼치기 PCR,,4.41,3.22,3.75,13.79,6.55,267.87,-52.54
  보통주수정주가(기말)＜당기＞,,"11,750","9,340","10,500","21,000","18,650", , 
  CPS＜당기＞,,"2,662","2,898","2,800","1,522","2,849", , 
펼치기 PSR,,0.48,0.41,0.57,1.14,0.90,100.50,-21.34
  보통주수정주가(기말)＜당기＞,,"11,750","9,340","10,500","21,000","18,650", , 
  SPS＜당기＞,,"24,637","22,827","18,409","18,363","20,733", , 
펼치기 EV/EBITDA,,6.96,4.44,5.50,9.65,6.37,75.66,-33.98
  EV＜당기＞,,"5,359.6","4,594.9","10,011.9","17,282.2","15,442.3", , 
  EBITDA＜당기＞,,770.3,"1,034.1","1,821.7","1,790.1","2,423.0", , 
펼치기 DPS,,450,470,510,540,,6, 
  현금DPS,,450,470,510,540,, , 
  주식DPS,,0,0,0,,, , 
  현금배당수익률,,3.83,5.03,4.86,2.57,,-2.29, 
  현금배당성향(%),,34.72,48.10,35.79,45.79,,10.00, 
