항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,53,70,113,232,239,, , 
  당기순이익(지배)＜당기＞,24.8,33.4,54.4,111.6,114.8,, , 
  보통주수정평균발행주식수＜당기＞,"46,795,226","48,060,774","48,060,774","48,060,774","48,060,774","48,060,774", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"1,281","1,329","1,424","1,636","1,808",, , 
  자본총계(지배)＜당기＞,615.6,638.9,684.6,786.4,863.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"48,060,359","48,060,339","48,060,364","48,060,368","47,760,144","47,760,122", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-209,-987,56,36,80,, , 
  영업활동현금흐름＜당기＞,-98.0,-474.5,26.9,17.1,38.7,, , 
  보통주수정평균발행주식수＜당기＞,"46,795,226","48,060,774","48,060,774","48,060,774","48,060,774","48,060,774", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,183,230,298,441,665,, , 
  매출액＜당기＞,85.6,110.3,143.4,211.9,319.5,, , 
  보통주수정평균발행주식수＜당기＞,"46,795,226","48,060,774","48,060,774","48,060,774","48,060,774","48,060,774", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,17.11,15.53,8.15,4.88,5.90,, , 
  보통주수정주가(기말)＜당기＞,907,"1,081",922,"1,132","1,410","1,500", , 
  EPS＜당기＞,53,70,113,232,239,, , 
펼치기 PBR,0.71,0.81,0.65,0.69,0.78,, , 
  보통주수정주가(기말)＜당기＞,907,"1,081",922,"1,132","1,410","1,500", , 
  BPS＜당기＞,"1,281","1,329","1,424","1,636","1,808",, , 
펼치기 PCR,-4.33,-1.09,16.46,31.73,17.53,, , 
  보통주수정주가(기말)＜당기＞,907,"1,081",922,"1,132","1,410","1,500", , 
  CPS＜당기＞,-209,-987,56,36,80,, , 
펼치기 PSR,4.95,4.71,3.09,2.57,2.12,, , 
  보통주수정주가(기말)＜당기＞,907,"1,081",922,"1,132","1,410","1,500", , 
  SPS＜당기＞,183,230,298,441,665,, , 
펼치기 EV/EBITDA,19.54,21.33,14.26,9.59,9.96,, , 
  EV＜당기＞,994.4,"1,562.7","1,510.0","1,640.4","1,798.9",, , 
  EBITDA＜당기＞,50.9,73.3,105.9,171.0,180.5,, , 
펼치기 DPS,36,37,47,77,77,, , 
  현금DPS,18,18,23,77,38,, , 
  주식DPS,18,18,23,0,38,, , 
  현금배당수익률,1.99,1.70,2.54,6.80,2.73,, , 
  현금배당성향(%),34.96,26.44,20.72,33.14,16.00,, , 
