항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,473,-469,"-2,868",365,"-1,209",,-431, 
  당기순이익(지배)＜당기＞,25.9,-26.3,-173.7,22.7,-75.1,, , 
  보통주수정평균발행주식수＜당기＞,"5,477,951","5,609,856","6,055,976","6,203,691","6,209,515","6,209,515", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"11,031","9,740","8,625","8,938","7,888",,-12, 
  자본총계(지배)＜당기＞,561.4,540.0,498.6,504.9,445.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,088,701","5,544,621","5,781,506","5,648,055","5,648,055","5,648,055", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,784",-704,-892,"4,704","-1,346",,-129, 
  영업활동현금흐름＜당기＞,97.7,-39.5,-54.0,291.8,-83.6,, , 
  보통주수정평균발행주식수＜당기＞,"5,477,951","5,609,856","6,055,976","6,203,691","6,209,515","6,209,515", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"58,927","51,137","44,600","42,902","40,507",,-6, 
  매출액＜당기＞,"3,228.0","2,868.7","2,700.9","2,661.5","2,515.3",, , 
  보통주수정평균발행주식수＜당기＞,"5,477,951","5,609,856","6,055,976","6,203,691","6,209,515","6,209,515", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,13.84,N/A,N/A,22.75,N/A,,-123.37, 
  보통주수정주가(기말)＜당기＞,"6,550","5,810","5,310","8,310","6,430","7,840", , 
  EPS＜당기＞,473,-469,"-2,868",365,"-1,209",, , 
펼치기 PBR,0.59,0.60,0.62,0.93,0.82,,-12.32, 
  보통주수정주가(기말)＜당기＞,"6,550","5,810","5,310","8,310","6,430","7,840", , 
  BPS＜당기＞,"11,031","9,740","8,625","8,938","7,888",, , 
펼치기 PCR,3.67,-8.25,-5.95,1.77,-4.78,,-370.35, 
  보통주수정주가(기말)＜당기＞,"6,550","5,810","5,310","8,310","6,430","7,840", , 
  CPS＜당기＞,"1,784",-704,-892,"4,704","-1,346",, , 
펼치기 PSR,0.11,0.11,0.12,0.19,0.16,,-18.05, 
  보통주수정주가(기말)＜당기＞,"6,550","5,810","5,310","8,310","6,430","7,840", , 
  SPS＜당기＞,"58,927","51,137","44,600","42,902","40,507",, , 
펼치기 EV/EBITDA,12.66,34.67,-26.65,14.25,-41.03,,-387.88, 
  EV＜당기＞,"1,234.6","1,306.4","1,345.3","1,291.4","1,310.7",, , 
  EBITDA＜당기＞,97.5,37.7,-50.5,90.6,-31.9,, , 
펼치기 DPS,150,0,,,,, , 
  현금DPS,150,0,,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,2.29,0.00,,,,, , 
  현금배당성향(%),29.43,0.00,0.00,0.00,,, , 
