항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,263",-245,"-1,721","-1,527",973,,164, 
  당기순이익(지배)＜당기＞,341.5,-66.1,-465.2,-412.8,262.9,, , 
  보통주수정평균발행주식수＜당기＞,"27,028,437","27,028,437","27,028,437","27,028,437","27,028,437","27,028,437", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"24,678","24,219","22,613","22,312","24,588",,10, 
  자본총계(지배)＜당기＞,"6,668.7","6,544.7","6,110.5","6,029.2","6,644.2",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"27,022,751","27,022,751","27,022,751","27,022,751","27,022,751","27,022,751", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"5,212","-1,119","7,089","4,266","6,960",,63, 
  영업활동현금흐름＜당기＞,"1,408.7",-302.5,"1,916.0","1,153.0","1,881.2",, , 
  보통주수정평균발행주식수＜당기＞,"27,028,437","27,028,437","27,028,437","27,028,437","27,028,437","27,028,437", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"74,272","68,474","73,137","72,604","80,658",,11, 
  매출액＜당기＞,"20,074.7","18,507.5","19,767.7","19,623.8","21,800.7",, , 
  보통주수정평균발행주식수＜당기＞,"27,028,437","27,028,437","27,028,437","27,028,437","27,028,437","27,028,437", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,7.95,N/A,N/A,N/A,7.25,,251.21, 
  보통주수정주가(기말)＜당기＞,"10,050","4,450","4,935","7,320","7,050","6,770", , 
  EPS＜당기＞,"1,263",-245,"-1,721","-1,527",973,, , 
펼치기 PBR,0.41,0.18,0.22,0.33,0.29,,-12.60, 
  보통주수정주가(기말)＜당기＞,"10,050","4,450","4,935","7,320","7,050","6,770", , 
  BPS＜당기＞,"24,678","24,219","22,613","22,312","24,588",, , 
펼치기 PCR,1.93,-3.98,0.70,1.72,1.01,,-40.97, 
  보통주수정주가(기말)＜당기＞,"10,050","4,450","4,935","7,320","7,050","6,770", , 
  CPS＜당기＞,"5,212","-1,119","7,089","4,266","6,960",, , 
펼치기 PSR,0.14,0.06,0.07,0.10,0.09,,-13.30, 
  보통주수정주가(기말)＜당기＞,"10,050","4,450","4,935","7,320","7,050","6,770", , 
  SPS＜당기＞,"74,272","68,474","73,137","72,604","80,658",, , 
펼치기 EV/EBITDA,6.62,5.50,5.79,4.49,3.33,,-25.76, 
  EV＜당기＞,"4,177.2","4,510.6","5,719.3","6,077.9","5,124.8",, , 
  EBITDA＜당기＞,631.1,819.6,987.4,"1,353.4","1,537.1",, , 
펼치기 DPS,150,100,100,100,150,,50, 
  현금DPS,150,100,100,100,150,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.49,2.25,2.03,1.37,2.13,,0.76, 
  현금배당성향(%),11.87,-40.89,-5.81,-6.55,15.42,,21.96, 
