항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,966","1,507","1,998","2,273","2,132","2,893",-6,36
  당기순이익(지배)＜당기＞,279.4,214.2,283.9,323.0,303.0,450.0, , 
  보통주수정평균발행주식수＜당기＞,"14,209,804","14,209,804","14,209,804","14,209,804","14,209,804","15,555,085", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"17,296","18,679","20,142","21,657","22,607","24,638",4,9
  자본총계(지배)＜당기＞,"2,457.7","2,654.3","2,862.2","3,077.4","3,212.4","3,890.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"14,209,804","14,209,804","14,209,804","14,209,804","14,209,804","15,788,671", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"3,808","2,993","4,349","5,150","3,958",,-23, 
  영업활동현금흐름＜당기＞,541.1,425.3,617.9,731.8,562.5,350.0, , 
  보통주수정평균발행주식수＜당기＞,"14,209,804","14,209,804","14,209,804","14,209,804","14,209,804","15,555,085", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"23,465","25,777","26,421","25,867","27,583","28,074",7,2
  매출액＜당기＞,"3,334.4","3,662.9","3,754.4","3,675.7","3,919.5","4,367.0", , 
  보통주수정평균발행주식수＜당기＞,"14,209,804","14,209,804","14,209,804","14,209,804","14,209,804","15,555,085", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,10.30,11.15,7.88,9.35,11.72,7.71,25.39,-34.25
  보통주수정주가(기말)＜당기＞,"20,250","16,800","15,750","21,250","25,000","22,300", , 
  EPS＜당기＞,"1,966","1,507","1,998","2,273","2,132","2,893", , 
펼치기 PBR,1.17,0.90,0.78,0.98,1.11,0.91,12.70,-18.15
  보통주수정주가(기말)＜당기＞,"20,250","16,800","15,750","21,250","25,000","22,300", , 
  BPS＜당기＞,"17,296","18,679","20,142","21,657","22,607","24,638", , 
펼치기 PCR,5.32,5.61,3.62,4.13,6.32,,53.07, 
  보통주수정주가(기말)＜당기＞,"20,250","16,800","15,750","21,250","25,000","22,300", , 
  CPS＜당기＞,"3,808","2,993","4,349","5,150","3,958",, , 
펼치기 PSR,0.86,0.65,0.60,0.82,0.91,0.79,10.33,-12.36
  보통주수정주가(기말)＜당기＞,"20,250","16,800","15,750","21,250","25,000","22,300", , 
  SPS＜당기＞,"23,465","25,777","26,421","25,867","27,583","28,074", , 
펼치기 EV/EBITDA,6.85,7.59,5.76,5.42,6.69,,23.49, 
  EV＜당기＞,"4,593.4","4,395.9","4,068.1","4,371.2","4,805.4","5,180.9", , 
  EBITDA＜당기＞,670.7,578.9,706.1,807.0,718.4,, , 
펼치기 DPS,0,500,750,"1,000","1,000",,0, 
  현금DPS,0,500,750,"1,000","1,000",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,2.98,4.76,4.71,4.00,4.48,-0.71,0.48
  현금배당성향(%),0.00,33.17,37.55,44.00,46.89,35.09,2.90,-11.81
