항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"4,172",-70,"1,868","10,743","3,046",,-72, 
  당기순이익(지배)＜당기＞,104.3,-1.7,46.7,268.6,76.1,, , 
  보통주수정평균발행주식수＜당기＞,"2,499,971","2,499,971","2,499,971","2,499,971","2,499,971","2,499,971", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"73,362","72,139","73,851","84,390","86,449",,2, 
  자본총계(지배)＜당기＞,"1,834.0","1,803.5","1,846.3","2,109.7","2,161.2",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"2,499,971","2,499,971","2,499,971","2,499,971","2,499,971",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"2,924",734,"6,727","5,518",687,,-88, 
  영업활동현금흐름＜당기＞,73.1,18.4,168.2,137.9,17.2,, , 
  보통주수정평균발행주식수＜당기＞,"2,499,971","2,499,971","2,499,971","2,499,971","2,499,971","2,499,971", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"57,357","54,246","58,826","58,533","55,256",,-6, 
  매출액＜당기＞,"1,433.9","1,356.1","1,470.6","1,463.3","1,381.4",, , 
  보통주수정평균발행주식수＜당기＞,"2,499,971","2,499,971","2,499,971","2,499,971","2,499,971","2,499,971", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,9.96,N/A,17.58,2.78,9.85,,253.90, 
  보통주수정주가(기말)＜당기＞,"41,550","33,450","32,850","29,900","30,000","28,450", , 
  EPS＜당기＞,"4,172",-70,"1,868","10,743","3,046",, , 
펼치기 PBR,0.57,0.46,0.44,0.35,0.35,,-2.05, 
  보통주수정주가(기말)＜당기＞,"41,550","33,450","32,850","29,900","30,000","28,450", , 
  BPS＜당기＞,"73,362","72,139","73,851","84,390","86,449",, , 
펼치기 PCR,14.21,45.56,4.88,5.42,43.64,,705.33, 
  보통주수정주가(기말)＜당기＞,"41,550","33,450","32,850","29,900","30,000","28,450", , 
  CPS＜당기＞,"2,924",734,"6,727","5,518",687,, , 
펼치기 PSR,0.72,0.62,0.56,0.51,0.54,,6.29, 
  보통주수정주가(기말)＜당기＞,"41,550","33,450","32,850","29,900","30,000","28,450", , 
  SPS＜당기＞,"57,357","54,246","58,826","58,533","55,256",, , 
펼치기 EV/EBITDA,0.79,-11.68,0.63,-1.28,-3.47,,-170.86, 
  EV＜당기＞,123.9,-384.4,83.2,-253.1,-228.0,, , 
  EBITDA＜당기＞,156.9,32.9,131.8,197.6,65.7,, , 
펼치기 DPS,"1,000",0,0,"1,000","1,000",,0, 
  현금DPS,"1,000",0,0,"1,000","1,000",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,2.41,0.00,0.00,3.34,3.33,,-0.01, 
  현금배당성향(%),23.97,0.00,0.00,9.31,32.83,,23.52, 
