항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,230,64,-25,579,357,,-38, 
  당기순이익(지배)＜당기＞,10.5,3.3,-1.3,30.0,18.5,, , 
  보통주수정평균발행주식수＜당기＞,"4,566,457","5,163,489","5,192,239","5,192,239","5,192,239","5,192,239", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"9,202","9,294","9,238","9,862","10,258",,4, 
  자본총계(지배)＜당기＞,464.2,482.5,479.6,512.0,532.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"5,044,030","5,191,828","5,191,828","5,191,828","5,191,828",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"1,421",755,-476,"1,577","-1,536",,-197, 
  영업활동현금흐름＜당기＞,64.9,39.0,-24.7,81.9,-79.7,, , 
  보통주수정평균발행주식수＜당기＞,"4,566,457","5,163,489","5,192,239","5,192,239","5,192,239","5,192,239", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"13,128","11,719","13,654","14,186","16,293",,15, 
  매출액＜당기＞,599.5,605.1,709.0,736.5,846.0,, , 
  보통주수정평균발행주식수＜당기＞,"4,566,457","5,163,489","5,192,239","5,192,239","5,192,239","5,192,239", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,49.91,364.98,N/A,32.66,59.04,,80.77, 
  보통주수정주가(기말)＜당기＞,"11,500","23,200","15,300","18,900","21,050","21,600", , 
  EPS＜당기＞,230,64,-25,579,357,, , 
펼치기 PBR,1.25,2.50,1.66,1.92,2.05,,7.08, 
  보통주수정주가(기말)＜당기＞,"11,500","23,200","15,300","18,900","21,050","21,600", , 
  BPS＜당기＞,"9,202","9,294","9,238","9,862","10,258",, , 
펼치기 PCR,8.10,30.75,-32.13,11.99,-13.71,,-214.37, 
  보통주수정주가(기말)＜당기＞,"11,500","23,200","15,300","18,900","21,050","21,600", , 
  CPS＜당기＞,"1,421",755,-476,"1,577","-1,536",, , 
펼치기 PSR,0.88,1.98,1.12,1.33,1.29,,-3.03, 
  보통주수정주가(기말)＜당기＞,"11,500","23,200","15,300","18,900","21,050","21,600", , 
  SPS＜당기＞,"13,128","11,719","13,654","14,186","16,293",, , 
펼치기 EV/EBITDA,33.44,48.78,45.37,21.90,29.84,,36.25, 
  EV＜당기＞,848.5,"1,456.7","1,020.3","1,129.9","1,340.3",, , 
  EBITDA＜당기＞,25.4,29.9,22.5,51.6,44.9,, , 
펼치기 DPS,,,,0,,, , 
  현금DPS,,,,0,,, , 
  주식DPS,,,,0,,, , 
  현금배당수익률,,,,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
