항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"2,999","1,891",446,"1,056","17,070",,"1,516", 
  당기순이익(지배)＜당기＞,179.9,113.5,26.8,63.4,"1,024.2",, , 
  보통주수정평균발행주식수＜당기＞,"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"35,655","36,515","36,256","37,210","53,623",,44, 
  자본총계(지배)＜당기＞,"2,139.3","2,190.9","2,175.4","2,232.6","3,217.4",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"4,493","2,379","-1,920","16,578","6,799",,-59, 
  영업활동현금흐름＜당기＞,269.6,142.7,-115.2,994.7,408.0,, , 
  보통주수정평균발행주식수＜당기＞,"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"152,010","156,718","152,791","151,220","224,546",,48, 
  매출액＜당기＞,"9,120.6","9,403.1","9,167.4","9,073.2","13,472.7",, , 
  보통주수정평균발행주식수＜당기＞,"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,9.50,10.94,38.30,16.47,3.22,,-80.44, 
  보통주수정주가(기말)＜당기＞,"28,500","20,700","17,100","17,400","55,000","46,250", , 
  EPS＜당기＞,"2,999","1,891",446,"1,056","17,070",, , 
펼치기 PBR,0.80,0.57,0.47,0.47,1.03,,119.34, 
  보통주수정주가(기말)＜당기＞,"28,500","20,700","17,100","17,400","55,000","46,250", , 
  BPS＜당기＞,"35,655","36,515","36,256","37,210","53,623",, , 
펼치기 PCR,6.34,8.70,-8.91,1.05,8.09,,670.67, 
  보통주수정주가(기말)＜당기＞,"28,500","20,700","17,100","17,400","55,000","46,250", , 
  CPS＜당기＞,"4,493","2,379","-1,920","16,578","6,799",, , 
펼치기 PSR,0.19,0.13,0.11,0.12,0.24,,112.88, 
  보통주수정주가(기말)＜당기＞,"28,500","20,700","17,100","17,400","55,000","46,250", , 
  SPS＜당기＞,"152,010","156,718","152,791","151,220","224,546",, , 
펼치기 EV/EBITDA,6.04,6.51,7.86,4.12,2.22,,-45.98, 
  EV＜당기＞,"2,487.2","2,313.1","2,390.9","1,539.5","3,540.8",, , 
  EBITDA＜당기＞,411.7,355.4,304.1,374.1,"1,592.7",, , 
펼치기 DPS,750,500,400,500,"1,000",,100, 
  현금DPS,750,500,400,500,"1,000",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,2.63,2.42,2.34,2.87,1.82,,-1.06, 
  현금배당성향(%),25.01,26.44,89.59,47.34,5.86,,-41.48, 
