항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,19,22,3,-9,73,, , 
  당기순이익(지배)＜당기＞,4.5,5.3,0.8,-2.6,21.0,, , 
  보통주수정평균발행주식수＜당기＞,"23,690,705","23,690,705","26,946,582","28,705,031","28,705,031","28,705,031", , 
  우선주수정평균발행주식수＜당기＞,"4,634","4,634","4,634","4,634","4,634","4,634", , 
펼치기 BPS,"1,361","1,379","1,388","1,497","1,569",, , 
  자본총계(지배)＜당기＞,322.4,326.6,398.3,429.8,450.4,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"23,688,655","23,688,655","28,702,981","28,702,981","28,702,981",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"4,559","4,559","4,559","4,559","4,559",, , 
펼치기 CPS,-61,194,201,82,50,, , 
  영업활동현금흐름＜당기＞,-14.4,46.0,54.2,23.6,14.5,, , 
  보통주수정평균발행주식수＜당기＞,"23,690,705","23,690,705","26,946,582","28,705,031","28,705,031","28,705,031", , 
  우선주수정평균발행주식수＜당기＞,"4,634","4,634","4,634","4,634","4,634","4,634", , 
펼치기 SPS,"1,537","1,361","1,019",956,"1,128",, , 
  매출액＜당기＞,364.1,322.4,274.7,274.5,323.9,, , 
  보통주수정평균발행주식수＜당기＞,"23,690,705","23,690,705","26,946,582","28,705,031","28,705,031","28,705,031", , 
  우선주수정평균발행주식수＜당기＞,"4,634","4,634","4,634","4,634","4,634","4,634", , 
펼치기 PER,95.48,77.37,647.60,N/A,23.55,, , 
  보통주수정주가(기말)＜당기＞,"1,800","1,725","1,990","3,000","1,725","2,300", , 
  EPS＜당기＞,19,22,3,-9,73,, , 
펼치기 PBR,1.32,1.25,1.43,2.00,1.10,, , 
  보통주수정주가(기말)＜당기＞,"1,800","1,725","1,990","3,000","1,725","2,300", , 
  BPS＜당기＞,"1,361","1,379","1,388","1,497","1,569",, , 
펼치기 PCR,-29.59,8.89,9.90,36.49,34.27,, , 
  보통주수정주가(기말)＜당기＞,"1,800","1,725","1,990","3,000","1,725","2,300", , 
  CPS＜당기＞,-61,194,201,82,50,, , 
펼치기 PSR,1.17,1.27,1.95,3.14,1.53,, , 
  보통주수정주가(기말)＜당기＞,"1,800","1,725","1,990","3,000","1,725","2,300", , 
  SPS＜당기＞,"1,537","1,361","1,019",956,"1,128",, , 
펼치기 EV/EBITDA,16.70,38.43,23.55,28.36,6.36,, , 
  EV＜당기＞,312.0,246.9,297.3,545.0,176.0,, , 
  EBITDA＜당기＞,18.7,6.4,12.6,19.2,27.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
