항목,,,"2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,"14,795","7,340",, , 
  당기순이익(지배)＜당기＞,,,,"1,324.4","1,172.2",, , 
  보통주수정평균발행주식수＜당기＞,,,,"8,972,831","15,970,512","15,970,512", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 BPS,,,,"82,781","87,084",, , 
  자본총계(지배)＜당기＞,,,,"13,198.7","13,884.1",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,0,"15,944,087","15,943,333","15,943,333", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,0,0,0,0, , 
펼치기 CPS,,,,"12,252","14,382",, , 
  영업활동현금흐름＜당기＞,,,,"1,096.8","2,296.9",, , 
  보통주수정평균발행주식수＜당기＞,,,,"8,972,831","15,970,512","15,970,512", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 SPS,,,,"79,162","73,614",, , 
  매출액＜당기＞,,,,"7,086.6","11,756.6",, , 
  보통주수정평균발행주식수＜당기＞,,,,"8,972,831","15,970,512","15,970,512", , 
  우선주수정평균발행주식수＜당기＞,,,,0,0,0, , 
펼치기 PER,,,,2.49,8.16,, , 
  보통주수정주가(기말)＜당기＞,,,,"31,700","59,900","58,400", , 
  EPS＜당기＞,,,,"14,795","7,340",, , 
펼치기 PBR,,,,0.44,0.69,, , 
  보통주수정주가(기말)＜당기＞,,,,"31,700","59,900","58,400", , 
  BPS＜당기＞,,,,"82,781","87,084",, , 
펼치기 PCR,,,,3.00,4.16,, , 
  보통주수정주가(기말)＜당기＞,,,,"31,700","59,900","58,400", , 
  CPS＜당기＞,,,,"12,252","14,382",, , 
펼치기 PSR,,,,0.46,0.81,, , 
  보통주수정주가(기말)＜당기＞,,,,"31,700","59,900","58,400", , 
  SPS＜당기＞,,,,"79,162","73,614",, , 
펼치기 EV/EBITDA,,,,2.85,2.89,, , 
  EV＜당기＞,,,,"3,197.7","7,373.5",, , 
  EBITDA＜당기＞,,,,"1,120.2","2,554.0",, , 
펼치기 DPS,,,,,"2,400",, , 
  현금DPS,,,,,"2,400",, , 
  주식DPS,,,,0,0,, , 
  현금배당수익률,,,,,4.01,4.11, ,0.10
  현금배당성향(%),,,,25.28,32.64,, , 
