항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-48,"-2,764","-3,711","-1,476",-941,,36, 
  당기순이익(지배)＜당기＞,-10.0,-530.6,-774.0,-307.9,-196.2,, , 
  보통주수정평균발행주식수＜당기＞,"20,856,819","20,856,819","20,856,819","20,856,819","20,856,819","20,856,819", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"7,082","8,795","5,163","3,744","2,622",,-30, 
  자본총계(지배)＜당기＞,"1,477.1","1,834.5","1,076.8",781.0,546.9,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"20,856,819","20,856,819","20,856,819","20,856,819","20,856,819",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"2,456",-713,479,827,948,,15, 
  영업활동현금흐름＜당기＞,512.3,-148.7,99.9,172.5,197.6,, , 
  보통주수정평균발행주식수＜당기＞,"20,856,819","20,856,819","20,856,819","20,856,819","20,856,819","20,856,819", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"33,297","10,011","10,106","8,301","9,017",,9, 
  매출액＜당기＞,"6,944.7","2,088.1","2,107.8","1,731.4","1,880.8",, , 
  보통주수정평균발행주식수＜당기＞,"20,856,819","20,856,819","20,856,819","20,856,819","20,856,819","20,856,819", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,-102.25, 
  보통주수정주가(기말)＜당기＞,"7,860","2,990","2,750","1,750","2,255","1,980", , 
  EPS＜당기＞,-48,"-2,764","-3,711","-1,476",-941,, , 
펼치기 PBR,1.11,0.34,0.53,0.47,0.86,,83.99, 
  보통주수정주가(기말)＜당기＞,"7,860","2,990","2,750","1,750","2,255","1,980", , 
  BPS＜당기＞,"7,082","8,795","5,163","3,744","2,622",, , 
펼치기 PCR,3.20,-4.19,5.74,2.12,2.38,,12.46, 
  보통주수정주가(기말)＜당기＞,"7,860","2,990","2,750","1,750","2,255","1,980", , 
  CPS＜당기＞,"2,456",-713,479,827,948,, , 
펼치기 PSR,0.24,0.30,0.27,0.21,0.25,,18.62, 
  보통주수정주가(기말)＜당기＞,"7,860","2,990","2,750","1,750","2,255","1,980", , 
  SPS＜당기＞,"33,297","10,011","10,106","8,301","9,017",, , 
펼치기 EV/EBITDA,3.02,4.47,8.57,231.65,6.49,,-97.20, 
  EV＜당기＞,"1,626.5","1,193.2","1,016.9",761.8,791.7,, , 
  EBITDA＜당기＞,537.9,267.1,118.6,3.3,122.0,, , 
펼치기 DPS,,,,,,, , 
  현금DPS,,,,,,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
