항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-25,588","2,327","2,788",556,-594,,-207, 
  당기순이익(지배)＜당기＞,"-2,047.0",186.1,235.5,62.2,-66.6,, , 
  보통주수정평균발행주식수＜당기＞,"8,000,000","8,000,000","8,447,123","11,200,000","11,200,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"27,630","29,856","28,380","29,352","28,600",,-3, 
  자본총계(지배)＜당기＞,"2,210.4","2,388.5","3,178.5","3,287.4","3,203.2",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,000,000","8,000,000","11,200,000","11,200,000","11,200,000",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"9,138","-5,066","1,926",-863,"3,258",,477, 
  영업활동현금흐름＜당기＞,731.1,-405.3,162.7,-96.7,364.9,, , 
  보통주수정평균발행주식수＜당기＞,"8,000,000","8,000,000","8,447,123","11,200,000","11,200,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"32,475","43,453","52,811","35,214","52,961",,50, 
  매출액＜당기＞,"2,598.0","3,476.2","4,461.0","3,944.0","5,931.6",, , 
  보통주수정평균발행주식수＜당기＞,"8,000,000","8,000,000","8,447,123","11,200,000","11,200,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,,,6.19,71.71,N/A,,-150.22, 
  보통주수정주가(기말)＜당기＞,,,"17,250","39,850","21,400","22,400", , 
  EPS＜당기＞,"-25,588","2,327","2,788",556,-594,, , 
펼치기 PBR,0.00,0.00,0.61,1.36,0.75,,-44.89, 
  보통주수정주가(기말)＜당기＞,,,"17,250","39,850","21,400","22,400", , 
  BPS＜당기＞,"27,630","29,856","28,380","29,352","28,600",, , 
펼치기 PCR,,,8.96,-46.16,6.57,,114.23, 
  보통주수정주가(기말)＜당기＞,,,"17,250","39,850","21,400","22,400", , 
  CPS＜당기＞,"9,138","-5,066","1,926",-863,"3,258",, , 
펼치기 PSR,,,0.33,1.13,0.40,,-64.29, 
  보통주수정주가(기말)＜당기＞,,,"17,250","39,850","21,400","22,400", , 
  SPS＜당기＞,"32,475","43,453","52,811","35,214","52,961",, , 
펼치기 EV/EBITDA,,,3.98,25.96,10.57,,-59.28, 
  EV＜당기＞,,,"1,140.7","4,005.2","1,905.8",, , 
  EBITDA＜당기＞,19.8,195.3,286.3,154.3,180.3,, , 
펼치기 DPS,0,0,0,200,,, , 
  현금DPS,0,0,0,200,,, , 
  주식DPS,0,0,0,,,, , 
  현금배당수익률,,,0.00,0.50,,, , 
  현금배당성향(%),0.00,0.00,0.00,35.99,,, , 
