항목,2017/12,2018/12,"2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-170,-39,117,-652,-607,,7, 
  당기순이익(지배)＜당기＞,-75.4,-20.8,68.9,-398.8,-402.8,, , 
  보통주수정평균발행주식수＜당기＞,"44,418,459","53,091,810","58,611,064","61,123,783","66,407,129","67,162,079", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,038","2,263","2,423","1,982","1,896",,-4, 
  자본총계(지배)＜당기＞,938.7,"1,316.6","1,428.3","1,219.2","1,272.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"46,060,412","58,193,264","58,952,347","61,507,930","67,120,296","67,120,296", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,116,-123,-42,-42,-108,,-158, 
  영업활동현금흐름＜당기＞,51.5,-65.2,-24.3,-25.5,-71.6,, , 
  보통주수정평균발행주식수＜당기＞,"44,418,459","53,091,810","58,611,064","61,123,783","66,407,129","67,162,079", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,944,876,760,790,827,,5, 
  매출액＜당기＞,419.2,464.8,445.7,482.7,549.0,, , 
  보통주수정평균발행주식수＜당기＞,"44,418,459","53,091,810","58,611,064","61,123,783","66,407,129","67,162,079", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,35.71,N/A,N/A,,12.44, 
  보통주수정주가(기말)＜당기＞,"3,682","2,530","4,195","6,050","4,925","3,605", , 
  EPS＜당기＞,-170,-39,117,-652,-607,, , 
펼치기 PBR,1.81,1.12,1.73,3.05,2.60,,-14.91, 
  보통주수정주가(기말)＜당기＞,"3,682","2,530","4,195","6,050","4,925","3,605", , 
  BPS＜당기＞,"2,038","2,263","2,423","1,982","1,896",, , 
펼치기 PCR,31.75,-20.60,-101.00,-144.84,-45.66,,68.47, 
  보통주수정주가(기말)＜당기＞,"3,682","2,530","4,195","6,050","4,925","3,605", , 
  CPS＜당기＞,116,-123,-42,-42,-108,, , 
펼치기 PSR,3.90,2.89,5.52,7.66,5.96,,-22.24, 
  보통주수정주가(기말)＜당기＞,"3,682","2,530","4,195","6,050","4,925","3,605", , 
  SPS＜당기＞,944,876,760,790,827,, , 
펼치기 EV/EBITDA,-62.48,-129.84,-102.12,-63.56,-17.98,,71.72, 
  EV＜당기＞,"1,852.5","1,323.8","2,303.6","3,714.9","2,684.9",, , 
  EBITDA＜당기＞,-29.6,-10.2,-22.6,-58.4,-149.4,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
