항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,509,313,187,65,158,,144, 
  당기순이익(지배)＜당기＞,116.4,71.5,42.9,14.8,56.8,, , 
  보통주수정평균발행주식수＜당기＞,"22,863,632","22,863,632","22,863,632","22,863,632","36,029,948","41,067,062", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,793","6,087","6,290","6,457","7,164",,11, 
  자본총계(지배)＜당기＞,"1,231.8","1,294.3","1,404.7","1,441.8","2,538.6",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"21,263,632","21,263,632","22,330,632","22,330,632","35,437,102","35,437,102", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-355,976,271,120,449,,275, 
  영업활동현금흐름＜당기＞,-81.3,223.2,61.9,27.3,161.6,, , 
  보통주수정평균발행주식수＜당기＞,"22,863,632","22,863,632","22,863,632","22,863,632","36,029,948","41,067,062", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"11,828","10,482","9,728","8,909","7,542",,-15, 
  매출액＜당기＞,"2,704.3","2,396.6","2,224.3","2,036.9","2,717.4",, , 
  보통주수정평균발행주식수＜당기＞,"22,863,632","22,863,632","22,863,632","22,863,632","36,029,948","41,067,062", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,5.92,17.65,21.58,64.99,22.34,,-65.62, 
  보통주수정주가(기말)＜당기＞,"3,015","5,520","4,045","4,195","3,525","3,810", , 
  EPS＜당기＞,509,313,187,65,158,, , 
펼치기 PBR,0.52,0.91,0.64,0.65,0.49,,-24.26, 
  보통주수정주가(기말)＜당기＞,"3,015","5,520","4,045","4,195","3,525","3,810", , 
  BPS＜당기＞,"5,793","6,087","6,290","6,457","7,164",, , 
펼치기 PCR,-8.48,5.65,14.94,35.10,7.86,,-77.61, 
  보통주수정주가(기말)＜당기＞,"3,015","5,520","4,045","4,195","3,525","3,810", , 
  CPS＜당기＞,-355,976,271,120,449,, , 
펼치기 PSR,0.25,0.53,0.42,0.47,0.47,,-0.74, 
  보통주수정주가(기말)＜당기＞,"3,015","5,520","4,045","4,195","3,525","3,810", , 
  SPS＜당기＞,"11,828","10,482","9,728","8,909","7,542",, , 
펼치기 EV/EBITDA,7.05,9.50,7.64,10.33,10.40,,0.72, 
  EV＜당기＞,"1,172.7","1,623.1","1,220.4","1,255.0","1,639.4",, , 
  EBITDA＜당기＞,166.4,170.9,159.8,121.5,157.6,, , 
펼치기 DPS,25,35,35,35,35,,0, 
  현금DPS,25,35,35,35,35,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.83,0.63,0.87,0.83,0.99,,0.16, 
  현금배당성향(%),4.57,10.41,18.23,52.96,21.82,,-31.14, 
