항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,849,338,691,527,430,955,-18,122
  당기순이익(지배)＜당기＞,324.5,129.4,264.0,201.6,164.5,365.0, , 
  보통주수정평균발행주식수＜당기＞,"38,220,000","38,220,000","38,220,000","38,220,000","38,220,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"12,013","12,128","12,938","13,119","13,496","14,205",3,5
  자본총계(지배)＜당기＞,"4,570.3","4,613.8","4,922.1","4,990.7","5,134.5","5,404.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"38,043,505","38,043,505","38,043,505","38,043,505","38,043,505",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"1,637","2,120",709,440,-412,"1,583",-194,484
  영업활동현금흐름＜당기＞,625.8,810.4,270.8,168.3,-157.6,-26.0, , 
  보통주수정평균발행주식수＜당기＞,"38,220,000","38,220,000","38,220,000","38,220,000","38,220,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"12,826","11,347","11,738","11,296","11,332","12,439",0,10
  매출액＜당기＞,"4,901.9","4,337.0","4,486.3","4,317.2","4,331.3","4,754.0", , 
  보통주수정평균발행주식수＜당기＞,"38,220,000","38,220,000","38,220,000","38,220,000","38,220,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,28.03,61.75,29.03,33.84,197.46,76.75,483.50,-61.13
  보통주수정주가(기말)＜당기＞,"23,800","20,900","20,050","17,850","85,000","73,300", , 
  EPS＜당기＞,849,338,691,527,430,955, , 
펼치기 PBR,1.98,1.72,1.55,1.36,6.30,5.16,362.86,-18.07
  보통주수정주가(기말)＜당기＞,"23,800","20,900","20,050","17,850","85,000","73,300", , 
  BPS＜당기＞,"12,013","12,128","12,938","13,119","13,496","14,205", , 
펼치기 PCR,14.54,9.86,28.30,40.55,-206.09,46.31,-608.28,122.47
  보통주수정주가(기말)＜당기＞,"23,800","20,900","20,050","17,850","85,000","73,300", , 
  CPS＜당기＞,"1,637","2,120",709,440,-412,"1,583", , 
펼치기 PSR,1.86,1.84,1.71,1.58,7.50,5.89,374.65,-21.43
  보통주수정주가(기말)＜당기＞,"23,800","20,900","20,050","17,850","85,000","73,300", , 
  SPS＜당기＞,"12,826","11,347","11,738","11,296","11,332","12,439", , 
펼치기 EV/EBITDA,17.70,16.17,9.54,11.47,91.92,41.23,701.50,-55.15
  EV＜당기＞,"9,303.2","7,423.5","6,978.7","6,187.8","32,193.2","27,788.3", , 
  EBITDA＜당기＞,525.6,459.0,731.8,539.5,350.2,674.0, , 
펼치기 DPS,220,140,310,282,238,,-16, 
  현금DPS,220,140,310,282,238,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.92,0.67,1.55,1.58,0.28,0.65,-1.30,0.37
  현금배당성향(%),25.79,41.17,44.68,53.22,55.03,49.95,1.82,-5.09
