항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,230","1,029","1,424","1,219",985,,-19, 
  당기순이익(지배)＜당기＞,136.7,136.8,189.4,162.1,131.0,, , 
  보통주수정평균발행주식수＜당기＞,"10,465,135","12,523,850","12,523,850","12,523,850","12,523,850",, , 
  우선주수정평균발행주식수＜당기＞,"646,399","773,560","773,560","773,560","773,560",, , 
펼치기 BPS,"9,089","9,646","10,689","11,938","12,554",,5, 
  자본총계(지배)＜당기＞,"1,207.9","1,281.8","1,420.5","1,526.7","1,605.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,516,169","12,516,169","12,516,169","12,016,169","12,016,169","12,016,169", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"772,939","772,939","772,939","772,939","772,939","772,939", , 
펼치기 CPS,"3,907","1,951","2,595","2,594","2,593",,-0, 
  영업활동현금흐름＜당기＞,434.1,259.5,345.1,344.9,344.8,, , 
  보통주수정평균발행주식수＜당기＞,"10,465,135","12,523,850","12,523,850","12,523,850","12,523,850",, , 
  우선주수정평균발행주식수＜당기＞,"646,399","773,560","773,560","773,560","773,560",, , 
펼치기 SPS,"28,882","29,219","29,074","28,693","28,668",,-0, 
  매출액＜당기＞,"3,209.2","3,885.3","3,866.1","3,815.4","3,812.1",, , 
  보통주수정평균발행주식수＜당기＞,"10,465,135","12,523,850","12,523,850","12,523,850","12,523,850",, , 
  우선주수정평균발행주식수＜당기＞,"646,399","773,560","773,560","773,560","773,560",, , 
펼치기 PER,11.42,9.04,6.10,7.29,9.32,,27.91, 
  보통주수정주가(기말)＜당기＞,"14,050","9,300","8,690","8,880","9,180","10,750", , 
  EPS＜당기＞,"1,230","1,029","1,424","1,219",985,, , 
펼치기 PBR,1.55,0.96,0.81,0.74,0.73,,-1.70, 
  보통주수정주가(기말)＜당기＞,"14,050","9,300","8,690","8,880","9,180","10,750", , 
  BPS＜당기＞,"9,089","9,646","10,689","11,938","12,554",, , 
펼치기 PCR,3.60,4.77,3.35,3.42,3.54,,3.41, 
  보통주수정주가(기말)＜당기＞,"14,050","9,300","8,690","8,880","9,180","10,750", , 
  CPS＜당기＞,"3,907","1,951","2,595","2,594","2,593",, , 
펼치기 PSR,0.49,0.32,0.30,0.31,0.32,,3.47, 
  보통주수정주가(기말)＜당기＞,"14,050","9,300","8,690","8,880","9,180","10,750", , 
  SPS＜당기＞,"28,882","29,219","29,074","28,693","28,668",, , 
펼치기 EV/EBITDA,9.55,7.04,5.14,5.09,5.46,,7.15, 
  EV＜당기＞,"2,767.9","2,122.8","1,981.7","1,825.3","1,519.2",, , 
  EBITDA＜당기＞,289.9,301.3,385.7,358.5,278.5,, , 
펼치기 DPS,250,250,250,250,250,,0, 
  현금DPS,250,250,250,250,250,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.78,2.69,2.88,2.82,2.72,,-0.09, 
  현금배당성향(%),24.32,24.29,17.55,19.74,24.42,,4.68, 
