항목,"2017/12
(GAAP개별)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,695,886,620,718,"1,043",, , 
  당기순이익(지배)＜당기＞,84.1,107.2,124.3,209.1,365.4,, , 
  보통주수정평균발행주식수＜당기＞,"12,096,104","12,096,104","20,065,186","29,138,288","35,015,584","38,782,520", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,"9,123,151", , 
펼치기 BPS,"2,264","3,159","4,981","5,578","7,839",, , 
  자본총계(지배)＜당기＞,273.8,382.2,"1,451.4","1,625.4","3,040.3",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,096,104","12,096,104","29,138,284","29,138,288","38,782,520","38,782,520", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,"10,246,000", , 
펼치기 CPS,"1,185","2,720","1,129",445,"2,795",, , 
  영업활동현금흐름＜당기＞,143.3,329.1,226.6,129.7,978.8,, , 
  보통주수정평균발행주식수＜당기＞,"12,096,104","12,096,104","20,065,186","29,138,288","35,015,584","38,782,520", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,"9,123,151", , 
펼치기 SPS,"11,717","17,584","13,852","12,225","12,444",, , 
  매출액＜당기＞,"1,417.3","2,127.0","2,779.5","3,562.1","4,357.3",, , 
  보통주수정평균발행주식수＜당기＞,"12,096,104","12,096,104","20,065,186","29,138,288","35,015,584","38,782,520", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,"9,123,151", , 
펼치기 PER,,,8.58,16.29,8.86,, , 
  보통주수정주가(기말)＜당기＞,,,"5,319","11,690","9,250","8,710", , 
  EPS＜당기＞,695,886,620,718,"1,043",, , 
펼치기 PBR,0.00,0.00,1.07,2.10,1.18,, , 
  보통주수정주가(기말)＜당기＞,,,"5,319","11,690","9,250","8,710", , 
  BPS＜당기＞,"2,264","3,159","4,981","5,578","7,839",, , 
펼치기 PCR,,,4.71,26.26,3.31,, , 
  보통주수정주가(기말)＜당기＞,,,"5,319","11,690","9,250","8,710", , 
  CPS＜당기＞,"1,185","2,720","1,129",445,"2,795",, , 
펼치기 PSR,,,0.38,0.96,0.74,, , 
  보통주수정주가(기말)＜당기＞,,,"5,319","11,690","9,250","8,710", , 
  SPS＜당기＞,"11,717","17,584","13,852","12,225","12,444",, , 
펼치기 EV/EBITDA,,,2.99,10.63,2.89,, , 
  EV＜당기＞,,,577.7,"3,432.8","1,690.8",, , 
  EBITDA＜당기＞,109.5,153.8,193.1,322.9,584.4,, , 
펼치기 DPS,0,0,92,138,200,, , 
  현금DPS,0,0,92,138,200,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,1.73,1.18,2.16,, , 
  현금배당성향(%),0.00,0.00,21.54,19.21,21.23,, , 
