항목,2017/06,2018/06,2019/06,2020/06,2021/06,"2022/06(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,007",644,257,306,209,,-32, 
  당기순이익(지배)＜당기＞,41.8,26.7,10.7,12.7,8.7,, , 
  보통주수정평균발행주식수＜당기＞,"4,150,000","4,150,000","4,150,000","4,150,000",,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,,, , 
펼치기 BPS,"73,027","74,282","74,339","76,398","76,621",,0, 
  자본총계(지배)＜당기＞,"2,287.7","2,301.2","2,303.9","2,323.0","2,330.6",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"3,132,690","3,097,933","3,099,181","3,040,654","3,041,770","2,892,577", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,231",441,835,"1,878","2,666",,42, 
  영업활동현금흐름＜당기＞,51.1,18.3,34.7,78.0,110.6,, , 
  보통주수정평균발행주식수＜당기＞,"4,150,000","4,150,000","4,150,000","4,150,000",,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,,, , 
펼치기 SPS,"51,612","51,864","50,400","47,330","47,259",,-0, 
  매출액＜당기＞,"2,141.9","2,152.4","2,091.6","1,964.2","1,961.2",, , 
  보통주수정평균발행주식수＜당기＞,"4,150,000","4,150,000","4,150,000","4,150,000",,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,,, , 
펼치기 PER,19.36,30.50,75.47,44.40,109.57,,146.77, 
  보통주수정주가(기말)＜당기＞,"19,500","19,650","19,400","13,600","22,850","25,000", , 
  EPS＜당기＞,"1,007",644,257,306,209,, , 
펼치기 PBR,0.27,0.26,0.26,0.18,0.30,,67.52, 
  보통주수정주가(기말)＜당기＞,"19,500","19,650","19,400","13,600","22,850","25,000", , 
  BPS＜당기＞,"73,027","74,282","74,339","76,398","76,621",, , 
펼치기 PCR,15.84,44.55,23.22,7.24,8.57,,18.41, 
  보통주수정주가(기말)＜당기＞,"19,500","19,650","19,400","13,600","22,850","25,000", , 
  CPS＜당기＞,"1,231",441,835,"1,878","2,666",, , 
펼치기 PSR,0.38,0.38,0.38,0.29,0.48,,68.27, 
  보통주수정주가(기말)＜당기＞,"19,500","19,650","19,400","13,600","22,850","25,000", , 
  SPS＜당기＞,"51,612","51,864","50,400","47,330","47,259",, , 
펼치기 EV/EBITDA,1.52,1.74,1.85,-2.38,9.98,,518.67, 
  EV＜당기＞,143.9,140.9,84.8,-81.5,320.8,, , 
  EBITDA＜당기＞,94.6,81.1,45.8,34.2,32.1,, , 
펼치기 DPS,150,150,200,200,200,,0, 
  현금DPS,150,150,200,200,200,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.77,0.76,1.03,1.47,0.88,,-0.60, 
  현금배당성향(%),11.24,17.38,58.10,47.84,70.29,,22.45, 
