항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-1,354",-618,-582,"-1,827",-542,,70, 
  당기순이익(지배)＜당기＞,-123.6,-73.9,-75.8,-246.9,-119.5,, , 
  보통주수정평균발행주식수＜당기＞,"9,129,389","11,962,475","13,038,127","13,517,290","22,047,176","26,878,103", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,000","5,117","4,312","1,864","1,342",,-28, 
  자본총계(지배)＜당기＞,547.9,667.2,562.2,406.9,299.7,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"9,131,378","13,038,051","13,038,051","21,822,653","22,332,653","29,044,063", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-207,57,-31,143,-401,,-380, 
  영업활동현금흐름＜당기＞,-18.9,6.9,-4.1,19.3,-88.5,, , 
  보통주수정평균발행주식수＜당기＞,"9,129,389","11,962,475","13,038,127","13,517,290","22,047,176","26,878,103", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"11,080","9,014","8,118","6,072","3,143",,-48, 
  매출액＜당기＞,"1,011.5","1,078.3","1,058.4",820.8,692.9,, , 
  보통주수정평균발행주식수＜당기＞,"9,129,389","11,962,475","13,038,127","13,517,290","22,047,176","26,878,103", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,,-350.43, 
  보통주수정주가(기말)＜당기＞,"4,878","2,604","2,337","1,635","2,185","2,460", , 
  EPS＜당기＞,"-1,354",-618,-582,"-1,827",-542,, , 
펼치기 PBR,0.81,0.51,0.54,0.88,1.63,,85.65, 
  보통주수정주가(기말)＜당기＞,"4,878","2,604","2,337","1,635","2,185","2,460", , 
  BPS＜당기＞,"6,000","5,117","4,312","1,864","1,342",, , 
펼치기 PCR,-23.61,45.31,-74.97,11.42,-5.44,,-147.66, 
  보통주수정주가(기말)＜당기＞,"4,878","2,604","2,337","1,635","2,185","2,460", , 
  CPS＜당기＞,-207,57,-31,143,-401,, , 
펼치기 PSR,0.44,0.29,0.29,0.27,0.70,,158.22, 
  보통주수정주가(기말)＜당기＞,"4,878","2,604","2,337","1,635","2,185","2,460", , 
  SPS＜당기＞,"11,080","9,014","8,118","6,072","3,143",, , 
펼치기 EV/EBITDA,-153.60,"1,274.34","1,392.93",-13.13,-9.57,,27.07, 
  EV＜당기＞,"1,079.4",998.9,846.1,674.5,760.6,, , 
  EBITDA＜당기＞,-7.0,0.8,0.6,-51.4,-79.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
