항목,2017/12,"2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-392,203,145,"2,631","4,775","6,167",82,29
  당기순이익(지배)＜당기＞,-86.3,44.6,31.9,578.8,"1,050.6","1,356.7", , 
  보통주수정평균발행주식수＜당기＞,"22,000,000","22,000,000","22,000,000","22,000,000","22,000,000","22,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"27,454","29,552","28,817","31,034","35,023","39,377",13,12
  자본총계(지배)＜당기＞,"6,039.8","6,501.3","6,339.7","6,725.1","7,633.0","8,582.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"22,000,000","22,000,000","22,000,000","21,670,000","21,794,360","21,794,360", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"-1,654","-5,174","6,864","8,732","6,148","8,839",-30,44
  영업활동현금흐름＜당기＞,-363.8,"-1,138.4","1,510.0","1,921.0","1,352.5","1,308.6", , 
  보통주수정평균발행주식수＜당기＞,"22,000,000","22,000,000","22,000,000","22,000,000","22,000,000","22,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"80,060","67,146","66,030","72,743","82,827","98,284",14,19
  매출액＜당기＞,"17,613.2","14,772.1","14,526.5","16,003.4","18,221.9","21,622.6", , 
  보통주수정평균발행주식수＜당기＞,"22,000,000","22,000,000","22,000,000","22,000,000","22,000,000","22,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,182.34,218.25,11.59,14.37,12.60,23.92,-12.29
  보통주수정주가(기말)＜당기＞,"59,800","36,950","31,600","30,500","68,600","77,700", , 
  EPS＜당기＞,-392,203,145,"2,631","4,775","6,167", , 
펼치기 PBR,2.18,1.25,1.10,0.98,1.96,1.97,99.30,0.74
  보통주수정주가(기말)＜당기＞,"59,800","36,950","31,600","30,500","68,600","77,700", , 
  BPS＜당기＞,"27,454","29,552","28,817","31,034","35,023","39,377", , 
펼치기 PCR,-36.16,-7.14,4.60,3.49,11.16,8.79,219.48,-21.22
  보통주수정주가(기말)＜당기＞,"59,800","36,950","31,600","30,500","68,600","77,700", , 
  CPS＜당기＞,"-1,654","-5,174","6,864","8,732","6,148","8,839", , 
펼치기 PSR,0.75,0.55,0.48,0.42,0.83,0.79,97.54,-4.55
  보통주수정주가(기말)＜당기＞,"59,800","36,950","31,600","30,500","68,600","77,700", , 
  SPS＜당기＞,"80,060","67,146","66,030","72,743","82,827","98,284", , 
펼치기 EV/EBITDA,32.16,18.79,16.88,9.98,12.74,8.73,27.64,-31.42
  EV＜당기＞,"17,362.3","13,953.6","12,220.5","11,509.3","19,657.6","20,279.0", , 
  EBITDA＜당기＞,539.9,742.8,724.1,"1,153.5","1,543.5","2,321.9", , 
펼치기 DPS,500,500,600,900,"1,200",,33, 
  현금DPS,500,500,600,900,"1,200",, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.84,1.35,1.90,2.95,1.75,1.62,-1.20,-0.13
  현금배당성향(%),-127.49,246.74,414.40,33.69,24.89,20.39,-8.80,-4.51
