항목,"2017/11
(IFRS별도)","2018/11
(IFRS별도)","2019/11
(IFRS별도)","2020/11
(IFRS별도)","2021/11
(IFRS별도)","2022/11(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-57,-66,38,68,-99,,-245, 
  당기순이익(지배)＜당기＞,-16.4,-21.1,12.1,21.9,-31.7,, , 
  보통주수정평균발행주식수＜당기＞,"28,779,275","31,826,941","32,000,000","32,000,000","32,000,000","32,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,376","3,219","3,091","3,233","3,106",,-4, 
  자본총계(지배)＜당기＞,822.6,881.3,834.2,901.4,866.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,362,615","27,381,109","26,989,965","27,878,362","27,878,362","27,878,362", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-48,107,179,338,160,,-53, 
  영업활동현금흐름＜당기＞,-13.7,34.0,57.1,108.0,51.3,, , 
  보통주수정평균발행주식수＜당기＞,"28,779,275","31,826,941","32,000,000","32,000,000","32,000,000","32,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,433","4,109","4,208","4,155","4,369",,5, 
  매출액＜당기＞,"1,275.8","1,307.9","1,346.5","1,329.7","1,398.0",, , 
  보통주수정평균발행주식수＜당기＞,"28,779,275","31,826,941","32,000,000","32,000,000","32,000,000","32,000,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,135.88,94.81,N/A,,-152.44, 
  보통주수정주가(기말)＜당기＞,"3,760","5,020","5,150","6,480","4,930","4,970", , 
  EPS＜당기＞,-57,-66,38,68,-99,, , 
펼치기 PBR,1.11,1.56,1.67,2.00,1.59,,-20.81, 
  보통주수정주가(기말)＜당기＞,"3,760","5,020","5,150","6,480","4,930","4,970", , 
  BPS＜당기＞,"3,376","3,219","3,091","3,233","3,106",, , 
펼치기 PCR,-79.10,47.00,28.84,19.19,30.74,,60.16, 
  보통주수정주가(기말)＜당기＞,"3,760","5,020","5,150","6,480","4,930","4,970", , 
  CPS＜당기＞,-48,107,179,338,160,, , 
펼치기 PSR,0.85,1.22,1.22,1.56,1.13,,-27.64, 
  보통주수정주가(기말)＜당기＞,"3,760","5,020","5,150","6,480","4,930","4,970", , 
  SPS＜당기＞,"4,433","4,109","4,208","4,155","4,369",, , 
펼치기 EV/EBITDA,92.54,321.08,32.11,29.60,68.84,,132.54, 
  EV＜당기＞,"1,415.4","1,742.8","1,784.0","2,121.0","1,656.9",, , 
  EBITDA＜당기＞,15.3,5.4,55.6,71.7,24.1,, , 
펼치기 DPS,49,45,45,43,30,,-29, 
  현금DPS,49,45,45,43,30,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.29,0.90,0.87,0.66,0.61,,-0.05, 
  현금배당성향(%),-71.82,-58.50,100.14,54.17,-26.36,,-80.53, 
