항목,"2017/12
(GAAP개별)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"8,855","2,675","1,411","1,107","1,195","1,357",8,14
  당기순이익(지배)＜당기＞,35.7,114.6,295.2,238.4,298.5,339.0, , 
  보통주수정평균발행주식수＜당기＞,"403,540","4,282,480","20,922,540","21,543,742","24,982,540","24,982,540", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"69,651","2,622","3,835","6,145","7,197","8,474",17,18
  자본총계(지배)＜당기＞,281.1,548.6,802.5,"1,535.2","1,798.1","2,117.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"403,540","20,922,540","20,922,540","24,982,540","24,982,540","24,982,540", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"63,676","4,127","2,084","1,276","1,306","1,749",2,34
  영업활동현금흐름＜당기＞,257.0,176.7,436.1,274.8,326.1,449.5, , 
  보통주수정평균발행주식수＜당기＞,"403,540","4,282,480","20,922,540","21,543,742","24,982,540","24,982,540", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"790,128","79,187","18,167","20,778","20,319","22,574",-2,11
  매출액＜당기＞,"3,188.5","3,391.2","3,800.9","4,476.3","5,076.3","5,639.7", , 
  보통주수정평균발행주식수＜당기＞,"403,540","4,282,480","20,922,540","21,543,742","24,982,540","24,982,540", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,17.58,13.89,10.80,-20.96,-22.29
  보통주수정주가(기말)＜당기＞,,,,"19,450","16,600","14,650", , 
  EPS＜당기＞,"8,855","2,675","1,411","1,107","1,195","1,357", , 
펼치기 PBR,0.00,0.00,0.00,3.17,2.31,1.73,-27.13,-25.04
  보통주수정주가(기말)＜당기＞,,,,"19,450","16,600","14,650", , 
  BPS＜당기＞,"69,651","2,622","3,835","6,145","7,197","8,474", , 
펼치기 PCR,,,,15.25,12.72,8.38,-16.61,-34.13
  보통주수정주가(기말)＜당기＞,,,,"19,450","16,600","14,650", , 
  CPS＜당기＞,"63,676","4,127","2,084","1,276","1,306","1,749", , 
펼치기 PSR,,,,0.94,0.82,0.65,-12.73,-20.56
  보통주수정주가(기말)＜당기＞,,,,"19,450","16,600","14,650", , 
  SPS＜당기＞,"790,128","79,187","18,167","20,778","20,319","22,574", , 
펼치기 EV/EBITDA,,,,9.40,7.95,5.88,-15.43,-26.09
  EV＜당기＞,,,,"4,590.1","3,897.5","3,360.4", , 
  EBITDA＜당기＞,232.7,242.3,468.9,488.1,490.0,571.7, , 
펼치기 DPS,0,"4,956",96,200,300,,50, 
  현금DPS,0,"4,956",96,200,300,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,,1.03,1.81,2.05,0.78,0.24
  현금배당성향(%),0.00,17.46,6.78,20.96,25.11,22.11,4.15,-3.00
