항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"2,041","1,797","1,593",838,"1,576","1,947",88,24
  당기순이익(지배)＜당기＞,243.0,261.7,283.0,148.9,280.1,346.0, , 
  보통주수정평균발행주식수＜당기＞,"11,911,080","14,558,779","17,772,946","17,772,946","17,772,946","17,772,946", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,088","11,630","12,734","13,431","14,561","15,417",8,6
  자본총계(지배)＜당기＞,809.4,"2,053.9","2,203.3","2,323.8","2,519.0","2,667.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"13,295,190","17,659,362","17,302,399","17,302,399","17,299,486","17,299,486", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"2,131","1,895","1,785",877,"1,443","2,318",65,61
  영업활동현금흐름＜당기＞,253.8,275.9,317.2,155.8,256.6,340.0, , 
  보통주수정평균발행주식수＜당기＞,"11,911,080","14,558,779","17,772,946","17,772,946","17,772,946","17,772,946", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"11,698","10,498","9,360","9,976","11,051","12,418",11,12
  매출액＜당기＞,"1,393.3","1,528.3","1,663.5","1,773.1","1,964.1","2,207.0", , 
  보통주수정평균발행주식수＜당기＞,"11,911,080","14,558,779","17,772,946","17,772,946","17,772,946","17,772,946", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,11.42,12.91,28.03,12.78,9.94,-54.39,-22.25
  보통주수정주가(기말)＜당기＞,,"20,521","20,567","23,485","20,150","19,350", , 
  EPS＜당기＞,"2,041","1,797","1,593",838,"1,576","1,947", , 
펼치기 PBR,0.00,1.76,1.62,1.75,1.38,1.26,-20.86,-9.30
  보통주수정주가(기말)＜당기＞,,"20,521","20,567","23,485","20,150","19,350", , 
  BPS＜당기＞,"6,088","11,630","12,734","13,431","14,561","15,417", , 
펼치기 PCR,,10.83,11.52,26.79,13.96,8.35,-47.90,-40.20
  보통주수정주가(기말)＜당기＞,,"20,521","20,567","23,485","20,150","19,350", , 
  CPS＜당기＞,"2,131","1,895","1,785",877,"1,443","2,318", , 
펼치기 PSR,,1.95,2.20,2.35,1.82,1.56,-22.55,-14.54
  보통주수정주가(기말)＜당기＞,,"20,521","20,567","23,485","20,150","19,350", , 
  SPS＜당기＞,"11,698","10,498","9,360","9,976","11,051","12,418", , 
펼치기 EV/EBITDA,,7.08,7.45,9.50,7.47,5.58,-21.35,-25.36
  EV＜당기＞,,"2,628.4","2,813.6","3,482.7","3,120.3","2,821.1", , 
  EBITDA＜당기＞,354.5,371.3,377.7,366.7,417.7,506.0, , 
펼치기 DPS,226,255,419,465,510,,10, 
  현금DPS,226,255,419,465,510,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,1.24,2.04,1.98,2.53,2.64,0.55,0.10
  현금배당성향(%),12.37,17.23,25.56,53.86,31.49,26.20,-22.37,-5.30
