항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,116","1,191",603,"1,421","2,179","2,288",53,5
  당기순이익(지배)＜당기＞,327.8,349.8,177.2,417.2,640.0,671.8, , 
  보통주수정평균발행주식수＜당기＞,"29,366,322","29,366,322","29,366,322","29,366,322","29,366,322","29,366,322", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"8,453","8,810","8,557","9,633","11,097","12,381",15,12
  자본총계(지배)＜당기＞,"2,482.2","2,587.1","2,512.9","2,828.9","3,258.9","3,635.9", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"29,366,322","29,366,322","29,366,322","29,366,322","29,366,322","29,366,322", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"2,372",611,"1,296","2,756","3,016","3,121",9,4
  영업활동현금흐름＜당기＞,696.6,179.4,380.7,809.4,885.6,897.1, , 
  보통주수정평균발행주식수＜당기＞,"29,366,322","29,366,322","29,366,322","29,366,322","29,366,322","29,366,322", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"7,368","8,359","7,617","8,915","10,279","12,054",15,17
  매출액＜당기＞,"2,163.8","2,454.7","2,236.8","2,617.9","3,018.7","3,539.7", , 
  보통주수정평균발행주식수＜당기＞,"29,366,322","29,366,322","29,366,322","29,366,322","29,366,322","29,366,322", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,42.33,27.87,58.01,26.04,25.28,19.56,-2.91,-22.63
  보통주수정주가(기말)＜당기＞,"47,250","33,200","35,000","37,000","55,100","44,750", , 
  EPS＜당기＞,"1,116","1,191",603,"1,421","2,179","2,288", , 
펼치기 PBR,5.59,3.77,4.09,3.84,4.97,3.61,29.27,-27.20
  보통주수정주가(기말)＜당기＞,"47,250","33,200","35,000","37,000","55,100","44,750", , 
  BPS＜당기＞,"8,453","8,810","8,557","9,633","11,097","12,381", , 
펼치기 PCR,19.92,54.36,27.00,13.42,18.27,14.34,36.11,-21.53
  보통주수정주가(기말)＜당기＞,"47,250","33,200","35,000","37,000","55,100","44,750", , 
  CPS＜당기＞,"2,372",611,"1,296","2,756","3,016","3,121", , 
펼치기 PSR,6.41,3.97,4.59,4.15,5.36,3.71,29.15,-30.74
  보통주수정주가(기말)＜당기＞,"47,250","33,200","35,000","37,000","55,100","44,750", , 
  SPS＜당기＞,"7,368","8,359","7,617","8,915","10,279","12,054", , 
펼치기 EV/EBITDA,19.66,13.19,20.41,13.14,15.83,11.54,20.44,-27.11
  EV＜당기＞,"13,452.8","10,070.4","10,719.9","10,716.2","15,757.4","12,683.8", , 
  EBITDA＜당기＞,684.3,763.7,525.2,815.5,995.6,"1,099.4", , 
펼치기 DPS,800,830,315,711,"1,090",,53, 
  현금DPS,800,830,315,711,"1,090",, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.69,2.50,0.90,1.92,1.98,2.24,0.06,0.26
  현금배당성향(%),71.67,69.67,52.21,50.04,50.01,43.81,-0.03,-6.20
