항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,610,255,"2,058","1,304","1,666",,28, 
  당기순이익(지배)＜당기＞,45.8,19.2,154.5,97.9,125.0,, , 
  보통주수정평균발행주식수＜당기＞,"7,506,711","7,506,711","7,506,711","7,506,711","7,506,711",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"31,148","32,133","34,051","36,206","37,171",,3, 
  자본총계(지배)＜당기＞,"2,338.2","2,311.9","2,449.5","2,357.7","2,448.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"7,506,713","7,194,931","7,193,701","6,511,949","6,587,036","6,587,036", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,-743,"1,923","-5,337","9,370","3,978",,-58, 
  영업활동현금흐름＜당기＞,-55.8,144.4,-400.6,703.4,298.6,, , 
  보통주수정평균발행주식수＜당기＞,"7,506,711","7,506,711","7,506,711","7,506,711","7,506,711",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"24,524","18,586","28,418","31,625","22,791",,-28, 
  매출액＜당기＞,"1,840.9","1,395.2","2,133.3","2,374.0","1,710.9",, , 
  보통주수정평균발행주식수＜당기＞,"7,506,711","7,506,711","7,506,711","7,506,711","7,506,711",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,25.67,43.26,9.62,12.00,11.14,,-7.21, 
  보통주수정주가(기말)＜당기＞,"15,671","11,050","19,800","15,650","18,550","18,700", , 
  EPS＜당기＞,610,255,"2,058","1,304","1,666",, , 
펼치기 PBR,0.50,0.34,0.58,0.43,0.50,,15.45, 
  보통주수정주가(기말)＜당기＞,"15,671","11,050","19,800","15,650","18,550","18,700", , 
  BPS＜당기＞,"31,148","32,133","34,051","36,206","37,171",, , 
펼치기 PCR,-21.08,5.75,-3.71,1.67,4.66,,179.22, 
  보통주수정주가(기말)＜당기＞,"15,671","11,050","19,800","15,650","18,550","18,700", , 
  CPS＜당기＞,-743,"1,923","-5,337","9,370","3,978",, , 
펼치기 PSR,0.64,0.59,0.70,0.49,0.81,,64.47, 
  보통주수정주가(기말)＜당기＞,"15,671","11,050","19,800","15,650","18,550","18,700", , 
  SPS＜당기＞,"24,524","18,586","28,418","31,625","22,791",, , 
펼치기 EV/EBITDA,2.80,98.04,6.50,1.97,3.33,,68.68, 
  EV＜당기＞,603.0,166.7,"1,284.2",503.9,521.0,, , 
  EBITDA＜당기＞,215.3,1.7,197.4,255.2,156.4,, , 
펼치기 DPS,14,15,800,800,800,,0, 
  현금DPS,0,0,800,800,800,, , 
  주식DPS,14,15,0,0,,, , 
  현금배당수익률,0.00,0.00,4.04,5.11,4.31,,-0.80, 
  현금배당성향(%),0.00,0.00,37.24,55.12,41.48,,-13.64, 
