항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,198,161,124,177,252,,42, 
  당기순이익(지배)＜당기＞,118.2,96.3,73.8,105.9,150.2,, , 
  보통주수정평균발행주식수＜당기＞,"59,667,486","59,667,486","59,667,486","59,667,486","59,667,486","59,667,486", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,177","1,318","1,440","1,587","1,819",,15, 
  자본총계(지배)＜당기＞,702.4,770.5,859.4,947.1,"1,085.5",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"59,667,486","58,467,486","59,667,486","59,667,486","59,667,486",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,307,106,174,348,233,,-33, 
  영업활동현금흐름＜당기＞,183.2,63.1,104.1,207.6,139.1,, , 
  보통주수정평균발행주식수＜당기＞,"59,667,486","59,667,486","59,667,486","59,667,486","59,667,486","59,667,486", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,367","3,352","3,040","2,874","3,054",,6, 
  매출액＜당기＞,"2,009.2","2,000.2","1,814.1","1,714.8","1,822.1",, , 
  보통주수정평균발행주식수＜당기＞,"59,667,486","59,667,486","59,667,486","59,667,486","59,667,486","59,667,486", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,5.10,18.41,24.75,14.03,8.14,,-41.96, 
  보통주수정주가(기말)＜당기＞,"1,010","2,970","3,060","2,490","2,050","2,095", , 
  EPS＜당기＞,198,161,124,177,252,, , 
펼치기 PBR,0.86,2.25,2.12,1.57,1.13,,-28.16, 
  보통주수정주가(기말)＜당기＞,"1,010","2,970","3,060","2,490","2,050","2,095", , 
  BPS＜당기＞,"1,177","1,318","1,440","1,587","1,819",, , 
펼치기 PCR,3.29,28.11,17.54,7.16,8.79,,22.83, 
  보통주수정주가(기말)＜당기＞,"1,010","2,970","3,060","2,490","2,050","2,095", , 
  CPS＜당기＞,307,106,174,348,233,, , 
펼치기 PSR,0.30,0.89,1.01,0.87,0.67,,-22.52, 
  보통주수정주가(기말)＜당기＞,"1,010","2,970","3,060","2,490","2,050","2,095", , 
  SPS＜당기＞,"3,367","3,352","3,040","2,874","3,054",, , 
펼치기 EV/EBITDA,3.52,11.70,11.29,6.72,6.53,,-2.84, 
  EV＜당기＞,861.4,"2,040.3","2,027.3","1,645.0","1,660.2",, , 
  EBITDA＜당기＞,244.8,174.4,179.5,244.7,254.2,, , 
펼치기 DPS,20,20,20,20,20,,0, 
  현금DPS,20,20,20,20,20,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.98,0.67,0.65,0.80,0.98,,0.17, 
  현금배당성향(%),10.09,12.15,16.18,11.27,7.94,,-3.32, 
