항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,141,497,357,226,332,,47, 
  당기순이익(지배)＜당기＞,63.4,223.2,160.3,101.5,149.0,, , 
  보통주수정평균발행주식수＜당기＞,"44,918,407","44,918,407","44,918,407","44,918,407","44,918,407","44,918,407", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,107","3,583","3,895","4,014","4,293",,7, 
  자본총계(지배)＜당기＞,"1,302.1","1,539.2","1,673.5","1,772.3","1,895.4",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"41,907,996","42,959,517","42,959,517","44,149,107","44,149,107","44,149,107", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,363,781,680,488,815,,67, 
  영업활동현금흐름＜당기＞,162.8,350.6,305.2,219.2,366.0,, , 
  보통주수정평균발행주식수＜당기＞,"44,918,407","44,918,407","44,918,407","44,918,407","44,918,407","44,918,407", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,228","3,907","3,749","3,814","4,255",,12, 
  매출액＜당기＞,"1,449.8","1,754.9","1,683.9","1,713.2","1,911.2",, , 
  보통주수정평균발행주식수＜당기＞,"44,918,407","44,918,407","44,918,407","44,918,407","44,918,407","44,918,407", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,18.75,5.01,6.89,14.68,15.56,,6.02, 
  보통주수정주가(기말)＜당기＞,"2,645","2,490","2,460","3,315","5,160","5,230", , 
  EPS＜당기＞,141,497,357,226,332,, , 
펼치기 PBR,0.85,0.69,0.63,0.83,1.20,,45.55, 
  보통주수정주가(기말)＜당기＞,"2,645","2,490","2,460","3,315","5,160","5,230", , 
  BPS＜당기＞,"3,107","3,583","3,895","4,014","4,293",, , 
펼치기 PCR,7.30,3.19,3.62,6.79,6.33,,-6.79, 
  보통주수정주가(기말)＜당기＞,"2,645","2,490","2,460","3,315","5,160","5,230", , 
  CPS＜당기＞,363,781,680,488,815,, , 
펼치기 PSR,0.82,0.64,0.66,0.87,1.21,,39.53, 
  보통주수정주가(기말)＜당기＞,"2,645","2,490","2,460","3,315","5,160","5,230", , 
  SPS＜당기＞,"3,228","3,907","3,749","3,814","4,255",, , 
펼치기 EV/EBITDA,10.26,4.82,5.54,8.19,8.66,,5.76, 
  EV＜당기＞,"2,133.4","1,906.1","1,962.1","2,303.2","3,295.3",, , 
  EBITDA＜당기＞,208.0,395.1,354.1,281.4,380.7,, , 
펼치기 DPS,25,50,75,50,50,,0, 
  현금DPS,25,50,75,50,50,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.95,2.01,3.05,1.51,0.97,,-0.54, 
  현금배당성향(%),16.53,9.62,20.10,21.76,14.82,,-6.94, 
