항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,77,-760,-224,150,81,,-46, 
  당기순이익(지배)＜당기＞,36.1,-337.5,-104.9,71.3,38.7,, , 
  보통주수정평균발행주식수＜당기＞,"46,764,840","46,764,840","46,764,840","47,461,534","48,061,460","48,061,460", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,634",848,586,934,906,,-3, 
  자본총계(지배)＜당기＞,761.4,394.9,272.8,447.1,434.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"46,587,739","46,587,739","46,587,739","47,884,359","47,884,359","47,884,359", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,318,448,657,233,-143,,-161, 
  영업활동현금흐름＜당기＞,148.8,209.3,307.3,110.4,-68.7,, , 
  보통주수정평균발행주식수＜당기＞,"46,764,840","46,764,840","46,764,840","47,461,534","48,061,460","48,061,460", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"3,463","2,801","2,701","2,783","2,844",,2, 
  매출액＜당기＞,"1,619.6","1,310.0","1,263.1","1,320.8","1,367.0",, , 
  보통주수정평균발행주식수＜당기＞,"46,764,840","46,764,840","46,764,840","47,461,534","48,061,460","48,061,460", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,42.71,N/A,N/A,14.24,34.74,,143.87, 
  보통주수정주가(기말)＜당기＞,"3,300","2,770","2,085","2,140","2,800","4,270", , 
  EPS＜당기＞,77,-760,-224,150,81,, , 
펼치기 PBR,2.02,3.27,3.56,2.29,3.09,,34.79, 
  보통주수정주가(기말)＜당기＞,"3,300","2,770","2,085","2,140","2,800","4,270", , 
  BPS＜당기＞,"1,634",848,586,934,906,, , 
펼치기 PCR,10.37,6.19,3.17,9.20,-19.58,,-312.78, 
  보통주수정주가(기말)＜당기＞,"3,300","2,770","2,085","2,140","2,800","4,270", , 
  CPS＜당기＞,318,448,657,233,-143,, , 
펼치기 PSR,0.95,0.99,0.77,0.77,0.98,,28.02, 
  보통주수정주가(기말)＜당기＞,"3,300","2,770","2,085","2,140","2,800","4,270", , 
  SPS＜당기＞,"3,463","2,801","2,701","2,783","2,844",, , 
펼치기 EV/EBITDA,33.95,-7.95,-60.03,12.98,19.61,,51.09, 
  EV＜당기＞,"1,858.5","1,425.5",822.5,757.7,"1,154.7",, , 
  EBITDA＜당기＞,54.7,-179.3,-13.7,58.4,58.9,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
