항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,233,497,630,758,630,425,-17,-32
  당기순이익(지배)＜당기＞,140.7,412.4,729.0,935.8,983.2,803.2, , 
  보통주수정평균발행주식수＜당기＞,"60,458,513","83,017,022","115,651,767","123,414,174","156,114,304","188,919,389", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"5,240","7,184","7,847","8,375","11,885","12,060",42,1
  자본총계(지배)＜당기＞,"3,167.9","8,209.7","9,684.4","10,326.8","22,225.0","22,551.4", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"60,458,508","114,274,556","123,414,164","123,305,630","186,993,261","186,993,261", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,700","1,362","3,533","1,416","2,027",887,43,-56
  영업활동현금흐름＜당기＞,"1,028.0","1,130.4","4,086.2","1,747.9","3,165.1","1,839.7", , 
  보통주수정평균발행주식수＜당기＞,"60,458,513","83,017,022","115,651,767","123,414,174","156,114,304","188,919,389", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"14,202","13,599","13,368","13,312","13,384","12,091",1,-10
  매출액＜당기＞,"8,586.4","11,289.2","15,459.8","16,428.5","20,895.0","22,842.0", , 
  보통주수정평균발행주식수＜당기＞,"60,458,513","83,017,022","115,651,767","123,414,174","156,114,304","188,919,389", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,,,14.68,20.40,25.41,36.11,24.54,42.11
  보통주수정주가(기말)＜당기＞,,,"9,254","15,468","16,000","15,350", , 
  EPS＜당기＞,233,497,630,758,630,425, , 
펼치기 PBR,0.00,0.00,1.18,1.85,1.35,1.27,-27.11,-5.45
  보통주수정주가(기말)＜당기＞,,,"9,254","15,468","16,000","15,350", , 
  BPS＜당기＞,"5,240","7,184","7,847","8,375","11,885","12,060", , 
펼치기 PCR,,,2.62,10.92,7.89,17.31,-27.74,119.40
  보통주수정주가(기말)＜당기＞,,,"9,254","15,468","16,000","15,350", , 
  CPS＜당기＞,"1,700","1,362","3,533","1,416","2,027",887, , 
펼치기 PSR,,,0.69,1.16,1.20,1.27,2.88,6.20
  보통주수정주가(기말)＜당기＞,,,"9,254","15,468","16,000","15,350", , 
  SPS＜당기＞,"14,202","13,599","13,368","13,312","13,384","12,091", , 
펼치기 EV/EBITDA,,,4.04,8.00,7.31,9.85,-8.66,34.69
  EV＜당기＞,,,"7,035.5","15,414.2","15,206.3","19,151.5", , 
  EBITDA＜당기＞,597.8,941.6,"1,740.6","1,925.6","2,079.8","1,944.7", , 
펼치기 DPS,"1,608",138,277,205,160,,-22, 
  현금DPS,"1,608",138,277,205,160,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,,,2.99,1.33,1.00,1.02,-0.33,0.02
  현금배당성향(%),690.68,38.36,46.88,27.07,30.43,36.93,3.37,6.50
