항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,373,505,"-1,217","-4,039",348,380,109,9
  당기순이익(지배)＜당기＞,288.8,391.1,-942.3,"-3,127.9",269.2,294.3, , 
  보통주수정평균발행주식수＜당기＞,"77,446,865","77,446,865","77,446,865",,,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,,,, , 
펼치기 BPS,"12,746","13,593","12,283","8,149","8,424","8,695",3,3
  자본총계(지배)＜당기＞,"9,871.2","10,527.1","9,513.1","6,311.1","6,523.8","6,733.7", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"77,446,865","77,446,865","77,446,865","77,446,865","77,446,865",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,"3,632","3,390","3,234","2,823",901,"2,284",-68,153
  영업활동현금흐름＜당기＞,"2,812.6","2,625.6","2,504.3","2,186.2",698.2,"1,284.7", , 
  보통주수정평균발행주식수＜당기＞,"77,446,865","77,446,865","77,446,865",,,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,,,, , 
펼치기 SPS,"14,460","15,211","14,361","13,660","13,947","14,360",2,3
  매출액＜당기＞,"11,199.0","11,780.4","11,121.8","10,579.3","10,801.3","11,121.3", , 
  보통주수정평균발행주식수＜당기＞,"77,446,865","77,446,865","77,446,865",,,, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,,,, , 
펼치기 PER,19.04,18.14,N/A,N/A,15.99,15.52,"1,764.93",-2.94
  보통주수정주가(기말)＜당기＞,"7,100","9,160","6,050","3,880","5,560","5,900", , 
  EPS＜당기＞,373,505,"-1,217","-4,039",348,380, , 
펼치기 PBR,0.56,0.67,0.49,0.48,0.66,0.68,38.63,2.81
  보통주수정주가(기말)＜당기＞,"7,100","9,160","6,050","3,880","5,560","5,900", , 
  BPS＜당기＞,"12,746","13,593","12,283","8,149","8,424","8,695", , 
펼치기 PCR,1.96,2.70,1.87,1.37,6.17,2.58,348.72,-58.11
  보통주수정주가(기말)＜당기＞,"7,100","9,160","6,050","3,880","5,560","5,900", , 
  CPS＜당기＞,"3,632","3,390","3,234","2,823",901,"2,284", , 
펼치기 PSR,0.49,0.60,0.42,0.28,0.40,0.41,40.35,3.06
  보통주수정주가(기말)＜당기＞,"7,100","9,160","6,050","3,880","5,560","5,900", , 
  SPS＜당기＞,"14,460","15,211","14,361","13,660","13,947","14,360", , 
펼치기 EV/EBITDA,3.80,3.72,4.05,3.12,4.07,4.31,30.35,5.92
  EV＜당기＞,"11,441.5","12,632.4","9,738.2","7,081.7","8,707.0","8,513.4", , 
  EBITDA＜당기＞,"3,013.8","3,393.1","2,401.9","2,269.6","2,140.9","1,976.3", , 
펼치기 DPS,75,75,75,75,110,,47, 
  현금DPS,75,75,75,75,110,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.06,0.82,1.24,1.93,1.98,1.95,0.05,-0.03
  현금배당성향(%),20.11,14.85,-6.16,-1.86,31.64,30.26,33.50,-1.38
