항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,105,105,233,431,664,,54, 
  당기순이익(지배)＜당기＞,25.2,25.1,55.8,103.4,159.3,, , 
  보통주수정평균발행주식수＜당기＞,"24,000,000","24,000,000","24,000,000","24,000,000","24,000,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"4,573","4,544","4,597","4,855","5,290",,9, 
  자본총계(지배)＜당기＞,"1,097.4","1,072.4","1,084.9","1,132.4","1,233.9",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,000,000","23,600,000","23,598,875","23,325,199","23,325,199","23,325,199", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,569,622,922,"1,376",652,,-53, 
  영업활동현금흐름＜당기＞,136.6,149.4,221.3,330.3,156.5,, , 
  보통주수정평균발행주식수＜당기＞,"24,000,000","24,000,000","24,000,000","24,000,000","24,000,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"10,569","10,588","9,661","10,100","11,926",,18, 
  매출액＜당기＞,"2,536.6","2,541.2","2,318.7","2,424.0","2,862.2",, , 
  보통주수정평균발행주식수＜당기＞,"24,000,000","24,000,000","24,000,000","24,000,000","24,000,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,34.29,28.65,14.86,23.14,13.97,,-39.64, 
  보통주수정주가(기말)＜당기＞,"3,604","3,000","3,455","9,970","9,270","9,060", , 
  EPS＜당기＞,105,105,233,431,664,, , 
펼치기 PBR,0.79,0.66,0.75,2.05,1.75,,-14.67, 
  보통주수정주가(기말)＜당기＞,"3,604","3,000","3,455","9,970","9,270","9,060", , 
  BPS＜당기＞,"4,573","4,544","4,597","4,855","5,290",, , 
펼치기 PCR,6.33,4.82,3.75,7.25,14.21,,96.15, 
  보통주수정주가(기말)＜당기＞,"3,604","3,000","3,455","9,970","9,270","9,060", , 
  CPS＜당기＞,569,622,922,"1,376",652,, , 
펼치기 PSR,0.34,0.28,0.36,0.99,0.78,,-21.26, 
  보통주수정주가(기말)＜당기＞,"3,604","3,000","3,455","9,970","9,270","9,060", , 
  SPS＜당기＞,"10,569","10,588","9,661","10,100","11,926",, , 
펼치기 EV/EBITDA,5.32,5.61,4.40,7.70,6.33,,-17.80, 
  EV＜당기＞,"1,196.7","1,004.3","1,036.1","2,370.3","2,397.6",, , 
  EBITDA＜당기＞,225.1,179.0,235.6,307.7,378.6,, , 
펼치기 DPS,342,133,162,210,220,,5, 
  현금DPS,342,133,162,210,220,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,9.48,4.44,4.68,2.11,2.37,,0.27, 
  현금배당성향(%),325.06,124.79,68.31,47.36,32.22,,-15.15, 
