항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,094",593,734,814,341,,-58, 
  당기순이익(지배)＜당기＞,271.4,147.2,182.1,201.8,84.5,, , 
  보통주수정평균발행주식수＜당기＞,"24,800,000","24,800,000","24,800,000","24,800,000","24,800,000","24,800,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"13,546","13,549","13,790","14,018","13,954",,-0, 
  자본총계(지배)＜당기＞,"3,359.5","3,360.1","3,419.8","3,476.4","3,460.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"24,800,000","24,800,000","24,800,000","24,800,000","24,800,000","24,800,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"2,524",835,"1,591","2,355","1,366",,-42, 
  영업활동현금흐름＜당기＞,625.8,207.1,394.6,584.0,338.8,, , 
  보통주수정평균발행주식수＜당기＞,"24,800,000","24,800,000","24,800,000","24,800,000","24,800,000","24,800,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"19,847","19,749","20,428","20,994","21,723",,3, 
  매출액＜당기＞,"4,922.0","4,897.7","5,066.2","5,206.5","5,387.3",, , 
  보통주수정평균발행주식수＜당기＞,"24,800,000","24,800,000","24,800,000","24,800,000","24,800,000","24,800,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,19.38,21.74,19.06,25.26,79.95,,216.55, 
  보통주수정주가(기말)＜당기＞,"21,200","12,900","14,000","20,550","27,250","22,250", , 
  EPS＜당기＞,"1,094",593,734,814,341,, , 
펼치기 PBR,1.56,0.95,1.02,1.47,1.95,,33.21, 
  보통주수정주가(기말)＜당기＞,"21,200","12,900","14,000","20,550","27,250","22,250", , 
  BPS＜당기＞,"13,546","13,549","13,790","14,018","13,954",, , 
펼치기 PCR,8.40,15.45,8.80,8.73,19.95,,128.57, 
  보통주수정주가(기말)＜당기＞,"21,200","12,900","14,000","20,550","27,250","22,250", , 
  CPS＜당기＞,"2,524",835,"1,591","2,355","1,366",, , 
펼치기 PSR,1.07,0.65,0.69,0.98,1.25,,28.15, 
  보통주수정주가(기말)＜당기＞,"21,200","12,900","14,000","20,550","27,250","22,250", , 
  SPS＜당기＞,"19,847","19,749","20,428","20,994","21,723",, , 
펼치기 EV/EBITDA,9.87,11.56,9.29,11.63,18.25,,56.89, 
  EV＜당기＞,"6,221.3","4,684.5","4,904.4","6,277.8","8,100.5",, , 
  EBITDA＜당기＞,630.3,405.3,528.0,539.8,444.0,, , 
펼치기 DPS,500,500,500,500,500,,0, 
  현금DPS,500,500,500,500,500,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,2.36,3.88,3.57,2.43,1.83,,-0.60, 
  현금배당성향(%),45.70,84.26,68.09,61.45,146.70,,85.25, 
