항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,175,645,418,384,286,,-26, 
  당기순이익(지배)＜당기＞,38.8,143.3,92.8,85.4,63.5,, , 
  보통주수정평균발행주식수＜당기＞,"22,200,000","22,200,000","22,200,000","22,200,000","22,200,000","22,200,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,435","6,184","6,648","7,191","7,504",,4, 
  자본총계(지배)＜당기＞,976.8,"1,111.4","1,194.9","1,263.7","1,318.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"17,973,570","17,973,570","17,973,570","17,572,324","17,572,324","17,572,324", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,177,"1,177",326,522,534,,2, 
  영업활동현금흐름＜당기＞,39.4,261.3,72.4,115.9,118.5,, , 
  보통주수정평균발행주식수＜당기＞,"22,200,000","22,200,000","22,200,000","22,200,000","22,200,000","22,200,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,732","5,010","4,490","4,421","5,433",,23, 
  매출액＜당기＞,"1,050.6","1,112.2",996.7,981.6,"1,206.1",, , 
  보통주수정평균발행주식수＜당기＞,"22,200,000","22,200,000","22,200,000","22,200,000","22,200,000","22,200,000", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,16.60,5.27,7.45,16.59,26.48,,59.61, 
  보통주수정주가(기말)＜당기＞,"2,900","3,400","3,115","6,380","7,580","15,000", , 
  EPS＜당기＞,175,645,418,384,286,, , 
펼치기 PBR,0.53,0.55,0.47,0.89,1.01,,13.85, 
  보통주수정주가(기말)＜당기＞,"2,900","3,400","3,115","6,380","7,580","15,000", , 
  BPS＜당기＞,"5,435","6,184","6,648","7,191","7,504",, , 
펼치기 PCR,16.36,2.89,9.55,12.22,14.20,,16.27, 
  보통주수정주가(기말)＜당기＞,"2,900","3,400","3,115","6,380","7,580","15,000", , 
  CPS＜당기＞,177,"1,177",326,522,534,, , 
펼치기 PSR,0.61,0.68,0.69,1.44,1.40,,-3.31, 
  보통주수정주가(기말)＜당기＞,"2,900","3,400","3,115","6,380","7,580","15,000", , 
  SPS＜당기＞,"4,732","5,010","4,490","4,421","5,433",, , 
펼치기 EV/EBITDA,6.68,1.44,3.40,10.38,12.48,,20.14, 
  EV＜당기＞,455.6,313.8,510.1,"1,517.4","1,718.6",, , 
  EBITDA＜당기＞,68.2,217.4,149.8,146.1,137.8,, , 
펼치기 DPS,40,40,40,40,40,,0, 
  현금DPS,40,40,40,40,40,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.38,1.18,1.28,0.63,0.53,,-0.10, 
  현금배당성향(%),18.54,5.02,7.74,8.23,11.06,,2.83, 
