항목,,,,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,"9,094","10,731", ,18
  당기순이익(지배)＜당기＞,,,,,"2,319.3","4,110.6", , 
  보통주수정평균발행주식수＜당기＞,,,,,"25,503,065","38,307,075", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 BPS,,,,,"14,307","23,035", ,61
  자본총계(지배)＜당기＞,,,,,"5,474.2","8,795.1", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"38,262,990","38,180,716", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,,"11,430","11,374", ,-0
  영업활동현금흐름＜당기＞,,,,,"2,915.0","3,236.8", , 
  보통주수정평균발행주식수＜당기＞,,,,,"25,503,065","38,307,075", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 SPS,,,,,"42,707","49,253", ,15
  매출액＜당기＞,,,,,"10,891.7","18,867.4", , 
  보통주수정평균발행주식수＜당기＞,,,,,"25,503,065","38,307,075", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 PER,,,,,20.78,11.74, ,-43.50
  보통주수정주가(기말)＜당기＞,,,,,"189,000","126,000", , 
  EPS＜당기＞,,,,,"9,094","10,731", , 
펼치기 PBR,,,,,13.21,5.47, ,-58.59
  보통주수정주가(기말)＜당기＞,,,,,"189,000","126,000", , 
  BPS＜당기＞,,,,,"14,307","23,035", , 
펼치기 PCR,,,,,16.54,11.08, ,-33.01
  보통주수정주가(기말)＜당기＞,,,,,"189,000","126,000", , 
  CPS＜당기＞,,,,,"11,430","11,374", , 
펼치기 PSR,,,,,4.43,2.56, ,-42.19
  보통주수정주가(기말)＜당기＞,,,,,"189,000","126,000", , 
  SPS＜당기＞,,,,,"42,707","49,253", , 
펼치기 EV/EBITDA,,,,,21.34,8.15, ,-61.81
  EV＜당기＞,,,,,"74,898.0","47,407.8", , 
  EBITDA＜당기＞,,,,,"3,510.2","5,817.7", , 
펼치기 DPS,,,,,"1,100",, , 
  현금DPS,,,,,"1,100",, , 
  주식DPS,,,,,0,, , 
  현금배당수익률,,,,,0.58,0.43, ,-0.15
  현금배당성향(%),,,,,18.15,5.06, ,-13.08
