항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-28,99,100,31,93,,203, 
  당기순이익(지배)＜당기＞,-29.7,106.2,107.9,33.1,100.5,, , 
  보통주수정평균발행주식수＜당기＞,"106,584,898","107,581,446","108,394,549","108,394,549","108,394,549","108,394,549", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,276","1,361","1,460","1,493","1,622",,9, 
  자본총계(지배)＜당기＞,"1,292.5","1,403.4","1,505.4","1,538.9","1,672.3",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"101,299,898","103,109,549","103,109,549","103,109,549","103,109,549",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,16,151,267,157,93,,-41, 
  영업활동현금흐름＜당기＞,17.4,162.9,289.1,170.2,100.5,, , 
  보통주수정평균발행주식수＜당기＞,"106,584,898","107,581,446","108,394,549","108,394,549","108,394,549","108,394,549", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,928","2,789","2,492","2,405","2,976",,24, 
  매출액＜당기＞,"3,120.7","3,000.6","2,700.9","2,607.1","3,225.9",, , 
  보통주수정평균발행주식수＜당기＞,"106,584,898","107,581,446","108,394,549","108,394,549","108,394,549","108,394,549", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,11.24,11.15,54.14,27.93,,-48.40, 
  보통주수정주가(기말)＜당기＞,845,"1,110","1,110","1,655","2,590","2,220", , 
  EPS＜당기＞,-28,99,100,31,93,, , 
펼치기 PBR,0.66,0.82,0.76,1.11,1.60,,44.01, 
  보통주수정주가(기말)＜당기＞,845,"1,110","1,110","1,655","2,590","2,220", , 
  BPS＜당기＞,"1,276","1,361","1,460","1,493","1,622",, , 
펼치기 PCR,51.71,7.33,4.16,10.54,27.94,,165.04, 
  보통주수정주가(기말)＜당기＞,845,"1,110","1,110","1,655","2,590","2,220", , 
  CPS＜당기＞,16,151,267,157,93,, , 
펼치기 PSR,0.29,0.40,0.45,0.69,0.87,,26.47, 
  보통주수정주가(기말)＜당기＞,845,"1,110","1,110","1,655","2,590","2,220", , 
  SPS＜당기＞,"2,928","2,789","2,492","2,405","2,976",, , 
펼치기 EV/EBITDA,20.27,8.90,5.87,12.16,13.82,,13.71, 
  EV＜당기＞,"1,247.1","1,683.3","1,434.2","1,891.2","2,850.2",, , 
  EBITDA＜당기＞,61.5,189.2,244.2,155.6,206.2,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
