항목,2016/12,2017/12,2018/12,"2019/12
(IFRS별도)",2020/12,"2021/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-1,917","-8,193","-4,351","-9,160","-4,808",, , 
  당기순이익(지배)＜당기＞,-40.4,-201.4,-164.0,-370.4,-490.0,, , 
  보통주수정평균발행주식수＜당기＞,"2,108,923","2,458,117","3,768,050","4,043,880","10,190,452","13,889,595", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"19,288","21,430","22,120","6,603","1,764",, , 
  자본총계(지배)＜당기＞,406.9,780.9,834.7,391.8,230.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"2,109,374","3,643,847","3,773,458","5,932,803","13,064,581","15,090,100", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"-1,121","-2,692","-7,499","-3,731","-1,638",, , 
  영업활동현금흐름＜당기＞,-23.6,-66.2,-282.5,-150.9,-166.9,, , 
  보통주수정평균발행주식수＜당기＞,"2,108,923","2,458,117","3,768,050","4,043,880","10,190,452","13,889,595", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"44,614","35,093","18,575","2,870",967,, , 
  매출액＜당기＞,940.9,862.6,699.9,116.1,98.6,, , 
  보통주수정평균발행주식수＜당기＞,"2,108,923","2,458,117","3,768,050","4,043,880","10,190,452","13,889,595", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,N/A,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"27,892","39,400","55,660","13,158","15,900","3,690", , 
  EPS＜당기＞,"-1,917","-8,193","-4,351","-9,160","-4,808",, , 
펼치기 PBR,1.45,1.84,2.52,1.99,9.01,, , 
  보통주수정주가(기말)＜당기＞,"27,892","39,400","55,660","13,158","15,900","3,690", , 
  BPS＜당기＞,"19,288","21,430","22,120","6,603","1,764",, , 
펼치기 PCR,-24.88,-14.64,-7.42,-3.53,-9.71,, , 
  보통주수정주가(기말)＜당기＞,"27,892","39,400","55,660","13,158","15,900","3,690", , 
  CPS＜당기＞,"-1,121","-2,692","-7,499","-3,731","-1,638",, , 
펼치기 PSR,0.63,1.12,3.00,4.58,16.44,, , 
  보통주수정주가(기말)＜당기＞,"27,892","39,400","55,660","13,158","15,900","3,690", , 
  SPS＜당기＞,"44,614","35,093","18,575","2,870",967,, , 
펼치기 EV/EBITDA,-4.89,-9.71,-10.84,-33.65,-97.88,, , 
  EV＜당기＞,257.4,625.7,"1,982.8",837.5,"2,447.7",, , 
  EBITDA＜당기＞,-52.7,-64.4,-183.0,-24.9,-25.0,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,0.00,, , 
