항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,18,111,16,-8,25,,414, 
  당기순이익(지배)＜당기＞,8.6,65.7,10.5,-6.7,23.8,, , 
  보통주수정평균발행주식수＜당기＞,"48,560,116","58,906,620","67,301,026","81,847,231","93,511,746","121,051,466", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"1,186","1,203","1,159","1,158","1,158",,-0, 
  자본총계(지배)＜당기＞,575.9,769.9,948.9,948.1,"1,401.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"48,560,108","63,991,526","81,847,256","81,847,231","121,051,466","121,051,466", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,64,69,-325,186,172,,-7, 
  영업활동현금흐름＜당기＞,31.3,40.6,-218.7,152.3,161.1,, , 
  보통주수정평균발행주식수＜당기＞,"48,560,116","58,906,620","67,301,026","81,847,231","93,511,746","121,051,466", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"2,958","2,125","3,549","2,916","4,090",,40, 
  매출액＜당기＞,"1,436.2","1,251.7","2,388.2","2,386.3","3,825.0",, , 
  보통주수정평균발행주식수＜당기＞,"48,560,116","58,906,620","67,301,026","81,847,231","93,511,746","121,051,466", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,44.57,9.71,80.07,N/A,36.47,,123.23, 
  보통주수정주가(기말)＜당기＞,793,"1,080","1,248","1,277",930,932, , 
  EPS＜당기＞,18,111,16,-8,25,, , 
펼치기 PBR,0.67,0.90,1.08,1.10,0.80,,-27.13, 
  보통주수정주가(기말)＜당기＞,793,"1,080","1,248","1,277",930,932, , 
  BPS＜당기＞,"1,186","1,203","1,159","1,158","1,158",, , 
펼치기 PCR,12.29,15.67,-3.84,6.86,5.40,,-21.28, 
  보통주수정주가(기말)＜당기＞,793,"1,080","1,248","1,277",930,932, , 
  CPS＜당기＞,64,69,-325,186,172,, , 
펼치기 PSR,0.27,0.51,0.35,0.44,0.23,,-48.08, 
  보통주수정주가(기말)＜당기＞,793,"1,080","1,248","1,277",930,932, , 
  SPS＜당기＞,"2,958","2,125","3,549","2,916","4,090",, , 
펼치기 EV/EBITDA,1.48,3.97,16.17,22.53,0.63,,-97.22, 
  EV＜당기＞,56.8,192.9,775.5,754.6,128.8,, , 
  EBITDA＜당기＞,38.4,48.6,48.0,33.5,205.4,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
