항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)",2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-492,195,-906,-916,-654,, , 
  당기순이익(지배)＜당기＞,-54.3,28.4,-112.0,-110.5,-166.1,, , 
  보통주수정평균발행주식수＜당기＞,"8,399,297","9,372,606","10,292,469","12,064,041","25,390,616","99,844,502", , 
  우선주수정평균발행주식수＜당기＞,"2,632,727","5,138,746","2,061,130",0,0,0, , 
펼치기 BPS,"1,450","1,841","1,606",789,494,, , 
  자본총계(지배)＜당기＞,196.4,268.2,193.6,95.1,323.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"8,401,650","9,432,286","12,058,777","12,058,777","65,491,734","111,246,122", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"5,138,746","5,138,746",0,0,0,0, , 
펼치기 CPS,-337,423,513,534,-128,, , 
  영업활동현금흐름＜당기＞,-37.2,61.4,63.4,64.4,-32.4,, , 
  보통주수정평균발행주식수＜당기＞,"8,399,297","9,372,606","10,292,469","12,064,041","25,390,616","99,844,502", , 
  우선주수정평균발행주식수＜당기＞,"2,632,727","5,138,746","2,061,130",0,0,0, , 
펼치기 SPS,"6,536","5,487","6,336","5,861","2,878",, , 
  매출액＜당기＞,721.0,796.2,782.7,707.1,730.8,, , 
  보통주수정평균발행주식수＜당기＞,"8,399,297","9,372,606","10,292,469","12,064,041","25,390,616","99,844,502", , 
  우선주수정평균발행주식수＜당기＞,"2,632,727","5,138,746","2,061,130",0,0,0, , 
펼치기 PER,N/A,17.40,N/A,N/A,N/A,, , 
  보통주수정주가(기말)＜당기＞,"3,290","3,400","4,195","1,530","1,530","1,530", , 
  EPS＜당기＞,-492,195,-906,-916,-654,, , 
펼치기 PBR,2.27,1.85,2.61,1.94,3.10,, , 
  보통주수정주가(기말)＜당기＞,"3,290","3,400","4,195","1,530","1,530","1,530", , 
  BPS＜당기＞,"1,450","1,841","1,606",789,494,, , 
펼치기 PCR,-9.76,8.04,8.17,2.87,-11.99,, , 
  보통주수정주가(기말)＜당기＞,"3,290","3,400","4,195","1,530","1,530","1,530", , 
  CPS＜당기＞,-337,423,513,534,-128,, , 
펼치기 PSR,0.50,0.62,0.66,0.26,0.53,, , 
  보통주수정주가(기말)＜당기＞,"3,290","3,400","4,195","1,530","1,530","1,530", , 
  SPS＜당기＞,"6,536","5,487","6,336","5,861","2,878",, , 
펼치기 EV/EBITDA,295.71,10.76,-39.89,-92.61,-4.03,, , 
  EV＜당기＞,485.8,544.7,688.6,338.7,180.4,, , 
  EBITDA＜당기＞,1.6,50.6,-17.3,-3.7,-44.8,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
