항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,1,2,-6,-7,-16,,-113, 
  당기순이익(지배)＜당기＞,1.9,6.2,-20.1,-25.0,-57.8,, , 
  보통주수정평균발행주식수＜당기＞,"337,410,000","337,410,000","337,410,000","339,353,260","368,370,420","373,980,417", , 
  우선주수정평균발행주식수＜당기＞,"2,224,500","2,224,500","2,224,500","2,224,500","2,224,500","2,224,500", , 
펼치기 BPS,79,81,73,78,69,,-11, 
  자본총계(지배)＜당기＞,267.1,275.4,249.6,283.7,260.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"337,409,850","337,409,850","337,409,850","362,085,158","372,316,385","374,755,409", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,"2,224,500","2,224,500","2,224,500","2,224,500","2,224,500","2,224,500", , 
펼치기 CPS,11,17,13,18,4,,-75, 
  영업활동현금흐름＜당기＞,36.8,57.8,45.0,61.6,16.5,, , 
  보통주수정평균발행주식수＜당기＞,"337,410,000","337,410,000","337,410,000","339,353,260","368,370,420","373,980,417", , 
  우선주수정평균발행주식수＜당기＞,"2,224,500","2,224,500","2,224,500","2,224,500","2,224,500","2,224,500", , 
펼치기 SPS,166,208,183,180,149,,-17, 
  매출액＜당기＞,564.8,707.6,621.5,615.7,553.0,, , 
  보통주수정평균발행주식수＜당기＞,"337,410,000","337,410,000","337,410,000","339,353,260","368,370,420","373,980,417", , 
  우선주수정평균발행주식수＜당기＞,"2,224,500","2,224,500","2,224,500","2,224,500","2,224,500","2,224,500", , 
펼치기 PER,460.31,96.44,N/A,N/A,N/A,,34.18, 
  보통주수정주가(기말)＜당기＞,257,177,176,235,330,299, , 
  EPS＜당기＞,1,2,-6,-7,-16,, , 
펼치기 PBR,3.27,2.18,2.39,3.02,4.75,,57.41, 
  보통주수정주가(기말)＜당기＞,257,177,176,235,330,299, , 
  BPS＜당기＞,79,81,73,78,69,, , 
펼치기 PCR,23.73,10.40,13.27,13.03,74.13,,469.05, 
  보통주수정주가(기말)＜당기＞,257,177,176,235,330,299, , 
  CPS＜당기＞,11,17,13,18,4,, , 
펼치기 PSR,1.55,0.85,0.96,1.30,2.21,,69.63, 
  보통주수정주가(기말)＜당기＞,257,177,176,235,330,299, , 
  SPS＜당기＞,166,208,183,180,149,, , 
펼치기 EV/EBITDA,35.02,20.33,20.46,23.00,164.31,,614.44, 
  EV＜당기＞,"1,286.5",952.2,937.7,"1,185.6","1,541.6",, , 
  EBITDA＜당기＞,36.7,46.8,45.8,51.6,9.4,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
