항목,"2017/12
(GAAP개별)","2018/12
(GAAP개별)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,-179,369,602,"1,004","1,256",67,25
  당기순이익(지배)＜당기＞,,-56.8,147.8,241.3,467.8,604.0, , 
  보통주수정평균발행주식수＜당기＞,"327,231","31,720,890","40,053,000","40,053,000","46,571,998","48,086,533", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"3,331","3,189","3,704","4,268","5,729","6,205",34,8
  자본총계(지배)＜당기＞,220.9,"1,277.3","1,483.7","1,709.7","2,754.7","2,983.8", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"6,633,000","40,053,000","40,053,000","40,053,000","48,086,533","48,086,533", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"-67,231",-328,159,836,147,"2,248",-82,"1,424"
  영업활동현금흐름＜당기＞,-220.0,-104.0,63.7,334.7,68.7,846.3, , 
  보통주수정평균발행주식수＜당기＞,"327,231","31,720,890","40,053,000","40,053,000","46,571,998","48,086,533", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,0,"23,412","29,595","33,034","40,848","49,457",24,21
  매출액＜당기＞,,"7,426.6","11,853.6","13,231.1","19,023.9","23,782.0", , 
  보통주수정평균발행주식수＜당기＞,"327,231","31,720,890","40,053,000","40,053,000","46,571,998","48,086,533", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,,,,33.95,18.71, ,-44.89
  보통주수정주가(기말)＜당기＞,,,,,"34,100","23,500", , 
  EPS＜당기＞,,-179,369,602,"1,004","1,256", , 
펼치기 PBR,0.00,0.00,0.00,0.00,5.95,3.79, ,-36.37
  보통주수정주가(기말)＜당기＞,,,,,"34,100","23,500", , 
  BPS＜당기＞,"3,331","3,189","3,704","4,268","5,729","6,205", , 
펼치기 PCR,,,,,231.29,10.46, ,-95.48
  보통주수정주가(기말)＜당기＞,,,,,"34,100","23,500", , 
  CPS＜당기＞,"-67,231",-328,159,836,147,"2,248", , 
펼치기 PSR,,,,,0.83,0.48, ,-43.08
  보통주수정주가(기말)＜당기＞,,,,,"34,100","23,500", , 
  SPS＜당기＞,0,"23,412","29,595","33,034","40,848","49,457", , 
펼치기 EV/EBITDA,,,,,15.74,9.18, ,-41.66
  EV＜당기＞,,,,,"18,056.5","12,823.1", , 
  EBITDA＜당기＞,0.0,115.2,427.4,535.7,"1,147.1","1,396.4", , 
펼치기 DPS,0,0,0,867,750,,-13, 
  현금DPS,0,0,0,867,750,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,,,,2.20,3.46, ,1.26
  현금배당성향(%),,0.00,0.00,143.86,77.10,64.69,-66.76,-12.42
