항목,2017/12,2018/12,2019/12,"2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-2,056",130,"-3,223","-3,868","-1,822",,53, 
  당기순이익(지배)＜당기＞,-113.7,7.2,-178.3,-215.3,-133.7,, , 
  보통주수정평균발행주식수＜당기＞,"5,530,735","5,530,735","5,530,735","5,566,519","7,338,021","10,877,070", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,949","7,061","3,417","2,291","2,159",,-6, 
  자본총계(지배)＜당기＞,326.8,343.4,171.0,143.6,207.2,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,702,629","4,863,168","5,003,758","6,267,444","9,596,920","11,745,915", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"-1,995","-1,434","-1,607","-1,803","-2,372",,-32, 
  영업활동현금흐름＜당기＞,-110.3,-79.3,-88.9,-100.4,-174.1,, , 
  보통주수정평균발행주식수＜당기＞,"5,530,735","5,530,735","5,530,735","5,566,519","7,338,021","10,877,070", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,793","7,372","6,273","4,900","3,744",,-24, 
  매출액＜당기＞,375.7,407.7,347.0,272.7,274.8,, , 
  보통주수정평균발행주식수＜당기＞,"5,530,735","5,530,735","5,530,735","5,566,519","7,338,021","10,877,070", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,27.92,N/A,N/A,N/A,,-95.94, 
  보통주수정주가(기말)＜당기＞,"4,155","3,620","3,165","4,550","4,200","2,470", , 
  EPS＜당기＞,"-2,056",130,"-3,223","-3,868","-1,822",, , 
펼치기 PBR,0.60,0.51,0.93,1.99,1.95,,-2.03, 
  보통주수정주가(기말)＜당기＞,"4,155","3,620","3,165","4,550","4,200","2,470", , 
  BPS＜당기＞,"6,949","7,061","3,417","2,291","2,159",, , 
펼치기 PCR,-2.08,-2.52,-1.97,-2.52,-1.77,,29.83, 
  보통주수정주가(기말)＜당기＞,"4,155","3,620","3,165","4,550","4,200","2,470", , 
  CPS＜당기＞,"-1,995","-1,434","-1,607","-1,803","-2,372",, , 
펼치기 PSR,0.61,0.49,0.50,0.93,1.12,,20.79, 
  보통주수정주가(기말)＜당기＞,"4,155","3,620","3,165","4,550","4,200","2,470", , 
  SPS＜당기＞,"6,793","7,372","6,273","4,900","3,744",, , 
펼치기 EV/EBITDA,-2.83,72.43,-2.63,-2.81,-3.63,,-29.06, 
  EV＜당기＞,285.0,331.0,358.9,497.8,502.8,, , 
  EBITDA＜당기＞,-100.7,4.6,-136.5,-177.2,-138.7,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
