항목,"2017/12
(IFRS별도)",2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,540,469,474,514,433,,-16, 
  당기순이익(지배)＜당기＞,148.5,129.0,130.3,141.3,119.1,, , 
  보통주수정평균발행주식수＜당기＞,"27,500,000","27,500,000","27,500,000","27,500,000","27,500,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"10,916","10,981","11,145","11,433","11,669",,2, 
  자본총계(지배)＜당기＞,"3,001.8","3,019.9","3,064.8","3,144.1","3,173.4",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"27,500,000","27,500,000","27,500,000","27,500,000","27,194,546","27,194,546", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,743","1,825","1,730","1,294","1,991",,54, 
  영업활동현금흐름＜당기＞,479.3,501.8,475.8,355.9,547.4,, , 
  보통주수정평균발행주식수＜당기＞,"27,500,000","27,500,000","27,500,000","27,500,000","27,500,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"27,854","28,036","28,176","27,025","28,016",,4, 
  매출액＜당기＞,"7,659.8","7,709.8","7,748.5","7,431.9","7,704.4",, , 
  보통주수정평균발행주식수＜당기＞,"27,500,000","27,500,000","27,500,000","27,500,000","27,500,000",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,11.17,11.52,11.06,10.37,21.12,,103.63, 
  보통주수정주가(기말)＜당기＞,"6,030","5,400","5,240","5,330","9,150","13,950", , 
  EPS＜당기＞,540,469,474,514,433,, , 
펼치기 PBR,0.55,0.49,0.47,0.47,0.78,,68.19, 
  보통주수정주가(기말)＜당기＞,"6,030","5,400","5,240","5,330","9,150","13,950", , 
  BPS＜당기＞,"10,916","10,981","11,145","11,433","11,669",, , 
펼치기 PCR,3.46,2.96,3.03,4.12,4.60,,11.61, 
  보통주수정주가(기말)＜당기＞,"6,030","5,400","5,240","5,330","9,150","13,950", , 
  CPS＜당기＞,"1,743","1,825","1,730","1,294","1,991",, , 
펼치기 PSR,0.22,0.19,0.19,0.20,0.33,,65.60, 
  보통주수정주가(기말)＜당기＞,"6,030","5,400","5,240","5,330","9,150","13,950", , 
  SPS＜당기＞,"27,854","28,036","28,176","27,025","28,016",, , 
펼치기 EV/EBITDA,4.14,3.82,4.43,4.39,7.65,,74.18, 
  EV＜당기＞,"2,094.8","1,874.5","2,103.6","2,218.5","3,170.9",, , 
  EBITDA＜당기＞,506.6,490.7,474.5,505.0,414.4,, , 
펼치기 DPS,250,250,250,250,250,,0, 
  현금DPS,250,250,250,250,250,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,4.15,4.63,4.77,4.69,2.73,,-1.96, 
  현금배당성향(%),46.30,53.32,52.75,48.65,57.07,,8.42, 
