항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)",2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"-1,448","3,347",741,"3,599","5,878","7,404",63,26
  당기순이익(지배)＜당기＞,-969.7,"2,241.1",496.4,"2,409.7","3,935.9","5,178.1", , 
  보통주수정평균발행주식수＜당기＞,"66,961,660","66,961,660","66,961,660","66,961,660","66,961,660","69,937,936", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"60,099","62,805","41,377","68,678","74,537","94,300",9,27
  자본총계(지배)＜당기＞,"39,764.5","41,554.7","27,377.4","45,987.8","49,911.0","67,117.3", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"66,165,000","66,165,000","66,165,000","66,961,660","66,961,660","71,174,000", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"2,237",-493,152,"3,018","6,789","9,989",125,47
  영업활동현금흐름＜당기＞,"1,498.2",-330.2,101.5,"2,020.9","4,546.0","7,639.8", , 
  보통주수정평균발행주식수＜당기＞,"66,961,660","66,961,660","66,961,660","66,961,660","66,961,660","69,937,936", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,939","8,002","10,478","17,395","23,416","29,188",35,25
  매출액＜당기＞,"4,646.3","5,358.1","7,015.9","11,647.8","15,680.1","20,413.4", , 
  보통주수정평균발행주식수＜당기＞,"66,961,660","66,961,660","66,961,660","66,961,660","66,961,660","69,937,936", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,114.13,577.28,226.84,151.83,106.03,-33.07,-30.17
  보통주수정주가(기말)＜당기＞,"366,658","381,977","427,932","816,333","892,432","785,000", , 
  EPS＜당기＞,"-1,448","3,347",741,"3,599","5,878","7,404", , 
펼치기 PBR,6.17,6.15,10.46,11.89,11.97,8.32,0.73,-30.47
  보통주수정주가(기말)＜당기＞,"366,658","381,977","427,932","816,333","892,432","785,000", , 
  BPS＜당기＞,"60,099","62,805","41,377","68,678","74,537","94,300", , 
펼치기 PCR,163.88,-774.68,"2,822.15",270.49,131.45,78.58,-51.40,-40.22
  보통주수정주가(기말)＜당기＞,"366,658","381,977","427,932","816,333","892,432","785,000", , 
  CPS＜당기＞,"2,237",-493,152,"3,018","6,789","9,989", , 
펼치기 PSR,52.84,47.74,40.84,46.93,38.11,26.89,-18.79,-29.43
  보통주수정주가(기말)＜당기＞,"366,658","381,977","427,932","816,333","892,432","785,000", , 
  SPS＜당기＞,"6,939","8,002","10,478","17,395","23,416","29,188", , 
펼치기 EV/EBITDA,182.00,172.21,127.54,125.11,85.38,65.56,-31.75,-23.22
  EV＜당기＞,"247,350.4","253,377.7","286,480.1","546,083.0","596,922.9","553,941.8", , 
  EBITDA＜당기＞,"1,359.1","1,471.3","2,246.3","4,364.7","6,991.0","8,449.2", , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,0.00, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
