항목,,,,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,,,360,, , 
  당기순이익(지배)＜당기＞,,,,,56.9,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"15,819,346","18,993,623", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 BPS,,,,,"3,175",, , 
  자본총계(지배)＜당기＞,,,,,603.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,,,0,"18,990,787","18,992,018", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,,,0,0,0, , 
펼치기 CPS,,,,,"1,793",, , 
  영업활동현금흐름＜당기＞,,,,,283.6,, , 
  보통주수정평균발행주식수＜당기＞,,,,,"15,819,346","18,993,623", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 SPS,,,,,"31,971",, , 
  매출액＜당기＞,,,,,"5,057.6",, , 
  보통주수정평균발행주식수＜당기＞,,,,,"15,819,346","18,993,623", , 
  우선주수정평균발행주식수＜당기＞,,,,,0,0, , 
펼치기 PER,,,,,14.28,, , 
  보통주수정주가(기말)＜당기＞,,,,,"5,140","4,220", , 
  EPS＜당기＞,,,,,360,, , 
펼치기 PBR,,,,,1.62,, , 
  보통주수정주가(기말)＜당기＞,,,,,"5,140","4,220", , 
  BPS＜당기＞,,,,,"3,175",, , 
펼치기 PCR,,,,,2.87,, , 
  보통주수정주가(기말)＜당기＞,,,,,"5,140","4,220", , 
  CPS＜당기＞,,,,,"1,793",, , 
펼치기 PSR,,,,,0.16,, , 
  보통주수정주가(기말)＜당기＞,,,,,"5,140","4,220", , 
  SPS＜당기＞,,,,,"31,971",, , 
펼치기 EV/EBITDA,,,,,11.24,, , 
  EV＜당기＞,,,,,"3,000.8",, , 
  EBITDA＜당기＞,,,,,267.0,, , 
펼치기 DPS,,,,,25,, , 
  현금DPS,,,,,25,, , 
  주식DPS,,,,,,, , 
  현금배당수익률,,,,,0.49,, , 
  현금배당성향(%),,,,,8.34,, , 
