항목,2017/12,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,61,24,-52,-76,-1,,99, 
  당기순이익(지배)＜당기＞,29.1,11.5,-24.8,-36.3,-0.4,, , 
  보통주수정평균발행주식수＜당기＞,"47,646,375","47,646,375","47,646,375","47,646,375","47,646,375","47,646,375", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,800,825,775,733,734,,0, 
  자본총계(지배)＜당기＞,381.2,393.0,369.4,349.2,349.6,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"47,646,375","47,646,375","47,646,375","47,646,375","47,646,375","47,646,375", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,135,12,50,-2,87,,"5,629", 
  영업활동현금흐름＜당기＞,64.2,5.5,23.6,-0.8,41.7,, , 
  보통주수정평균발행주식수＜당기＞,"47,646,375","47,646,375","47,646,375","47,646,375","47,646,375","47,646,375", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"1,218","1,314","1,121","1,594","2,082",,31, 
  매출액＜당기＞,580.2,626.3,534.3,759.5,991.8,, , 
  보통주수정평균발행주식수＜당기＞,"47,646,375","47,646,375","47,646,375","47,646,375","47,646,375","47,646,375", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,43.49,86.44,N/A,N/A,N/A,,"-7,861.15", 
  보통주수정주가(기말)＜당기＞,"2,655","2,095","2,100","2,775","2,465","2,305", , 
  EPS＜당기＞,61,24,-52,-76,-1,, , 
펼치기 PBR,3.32,2.54,2.71,3.79,3.36,,-11.27, 
  보통주수정주가(기말)＜당기＞,"2,655","2,095","2,100","2,775","2,465","2,305", , 
  BPS＜당기＞,800,825,775,733,734,, , 
펼치기 PCR,19.72,181.24,42.31,"-1,754.17",28.18,,101.61, 
  보통주수정주가(기말)＜당기＞,"2,655","2,095","2,100","2,775","2,465","2,305", , 
  CPS＜당기＞,135,12,50,-2,87,, , 
펼치기 PSR,2.18,1.59,1.87,1.74,1.18,,-31.98, 
  보통주수정주가(기말)＜당기＞,"2,655","2,095","2,100","2,775","2,465","2,305", , 
  SPS＜당기＞,"1,218","1,314","1,121","1,594","2,082",, , 
펼치기 EV/EBITDA,22.47,20.88,47.13,49.14,24.46,,-50.22, 
  EV＜당기＞,"1,405.2","1,147.2","1,209.8","1,623.2","1,489.8",, , 
  EBITDA＜당기＞,62.5,54.9,25.7,33.0,60.9,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
