항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)",2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,461","1,157","1,005","1,257","1,433","1,038",14,-28
  당기순이익(지배)＜당기＞,271.7,215.2,187.0,233.9,266.6,193.0, , 
  보통주수정평균발행주식수＜당기＞,"18,600,070","18,600,070","18,600,070","18,600,070","18,600,070","18,600,070", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"15,922","17,003","17,933","19,396","20,760","21,694",7,5
  자본총계(지배)＜당기＞,"2,430.8","2,595.8","2,737.8","2,961.1","3,169.4","3,312.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"15,267,070","15,267,070","15,267,070","15,267,070","15,267,070","15,267,070", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,262",938,"1,330","1,223","1,899","1,425",55,-25
  영업활동현금흐름＜당기＞,234.8,174.5,247.3,227.5,353.2,196.0, , 
  보통주수정평균발행주식수＜당기＞,"18,600,070","18,600,070","18,600,070","18,600,070","18,600,070","18,600,070", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"7,954","8,315","8,558","9,231","9,558","10,054",4,5
  매출액＜당기＞,"1,479.5","1,546.6","1,591.8","1,717.1","1,777.8","1,870.0", , 
  보통주수정평균발행주식수＜당기＞,"18,600,070","18,600,070","18,600,070","18,600,070","18,600,070","18,600,070", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,15.23,16.55,15.37,13.28,12.42,16.38,-6.49,31.92
  보통주수정주가(기말)＜당기＞,"22,250","19,150","15,450","16,700","17,800","17,000", , 
  EPS＜당기＞,"1,461","1,157","1,005","1,257","1,433","1,038", , 
펼치기 PBR,1.40,1.13,0.86,0.86,0.86,0.78,-0.42,-8.61
  보통주수정주가(기말)＜당기＞,"22,250","19,150","15,450","16,700","17,800","17,000", , 
  BPS＜당기＞,"15,922","17,003","17,933","19,396","20,760","21,694", , 
펼치기 PCR,17.63,20.41,11.62,13.65,9.37,11.93,-31.33,27.29
  보통주수정주가(기말)＜당기＞,"22,250","19,150","15,450","16,700","17,800","17,000", , 
  CPS＜당기＞,"1,262",938,"1,330","1,223","1,899","1,425", , 
펼치기 PSR,2.80,2.30,1.81,1.81,1.86,1.69,2.95,-9.21
  보통주수정주가(기말)＜당기＞,"22,250","19,150","15,450","16,700","17,800","17,000", , 
  SPS＜당기＞,"7,954","8,315","8,558","9,231","9,558","10,054", , 
펼치기 EV/EBITDA,10.44,8.62,5.89,6.03,5.27,6.19,-12.64,17.57
  EV＜당기＞,"3,333.3","2,629.7","1,771.4","1,958.5","1,868.4","1,808.0", , 
  EBITDA＜당기＞,319.4,304.9,300.6,324.9,354.8,292.0, , 
펼치기 DPS,300,300,300,300,300,,0, 
  현금DPS,300,300,300,300,300,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.35,1.57,1.94,1.80,1.69,1.76,-0.11,0.08
  현금배당성향(%),16.86,21.29,24.50,19.58,17.18,28.91,-2.40,11.73
