항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,643,193,106,294,-45,177
  당기순이익(지배)＜당기＞,,,118.7,141.9,87.0,241.0, , 
  보통주수정평균발행주식수＜당기＞,,,"14,326,972","57,327,308","65,493,726","65,493,726", , 
  우선주수정평균발행주식수＜당기＞,,,"4,121,222","16,350,500","16,350,500",, , 
펼치기 BPS,,,"2,276","6,263","6,332","6,584",1,4
  자본총계(지배)＜당기＞,,,"1,667.7","5,125.4","5,181.9","5,387.8", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"56,932,259","65,489,811","65,489,811","65,482,679", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,"16,348,983","16,348,983","16,348,983","16,348,983", , 
펼치기 CPS,,,"6,598","-1,032","-1,711",468,-66,127
  영업활동현금흐름＜당기＞,,,"1,217.2",-760.3,"-1,400.6",569.3, , 
  보통주수정평균발행주식수＜당기＞,,,"14,326,972","57,327,308","65,493,726","65,493,726", , 
  우선주수정평균발행주식수＜당기＞,,,"4,121,222","16,350,500","16,350,500",, , 
펼치기 SPS,,,"11,989","6,268","4,660","7,190",-26,54
  매출액＜당기＞,,,"2,211.7","4,618.4","3,814.1","5,884.6", , 
  보통주수정평균발행주식수＜당기＞,,,"14,326,972","57,327,308","65,493,726","65,493,726", , 
  우선주수정평균발행주식수＜당기＞,,,"4,121,222","16,350,500","16,350,500",, , 
펼치기 PER,,,13.36,277.78,451.81,126.84,62.65,-71.93
  보통주수정주가(기말)＜당기＞,,,"8,595","53,500","48,000","37,350", , 
  EPS＜당기＞,,,643,193,106,294, , 
펼치기 PBR,,,3.78,8.54,7.58,5.67,-11.26,-25.17
  보통주수정주가(기말)＜당기＞,,,"8,595","53,500","48,000","37,350", , 
  BPS＜당기＞,,,"2,276","6,263","6,332","6,584", , 
펼치기 PCR,,,1.30,-51.84,-28.05,79.79,45.90,384.45
  보통주수정주가(기말)＜당기＞,,,"8,595","53,500","48,000","37,350", , 
  CPS＜당기＞,,,"6,598","-1,032","-1,711",468, , 
펼치기 PSR,,,0.72,8.53,10.30,5.19,20.68,-49.57
  보통주수정주가(기말)＜당기＞,,,"8,595","53,500","48,000","37,350", , 
  SPS＜당기＞,,,"11,989","6,268","4,660","7,190", , 
펼치기 EV/EBITDA,,,25.03,103.81,123.36,61.10,18.84,-50.47
  EV＜당기＞,,,"5,285.3","34,621.5","32,868.0","25,959.8", , 
  EBITDA＜당기＞,,,211.2,333.5,266.4,424.9, , 
펼치기 DPS,,,0,0,,, , 
  현금DPS,,,0,0,,, , 
  주식DPS,,,0,0,,, , 
  현금배당수익률,,,0.00,0.00,,0.13, , 
  현금배당성향(%),,,0.00,0.00,,13.59, , 
